dataset,sentence_id,Original Sentence,sentence_has_specialized_terms,sentence_contains_named_entity
scotus,26,The reasons that justify the President’s absolute immunity from criminal prosecution for acts within the scope of his exclusive constitutional authority do not extend to conduct in areas where his authority is shared with Congress.,TRUE,TRUE
scotus,27,"Appreciating the “unique risks” that arise when the President’s energies are diverted by proceedings that might render him “unduly cautious in the discharge of his official duties,” the Court has recognized Presidential immunities and privileges “rooted in the constitutional tradition of the separation of powers and supported by our history.",TRUE,TRUE
scotus,28,"In Fitzgerald, for instance, the Court concluded that a former Presi dent is entitled to absolute immunity from “damages liability for acts within the ‘outer perimeter’ of his official responsibility.”",TRUE,TRUE
scotus,29,"And he contended that a President has absolute immunity from crimi nal prosecution for actions performed within the outer pe rimeter of his official responsibilities, to ensure that he can undertake the especially sensitive duties of his office with bold and unhesitating action.",TRUE,FALSE
scotus,30,"We conclude that under our constitutional structure of separated powers, the nature of Presidential power requires that a former President have some immunity from criminal prosecution for official acts during his tenure in office.",TRUE,FALSE
scotus,31,"Following the analysis set forth in Granfinanciera, S. A. v. Nordberg, 492 U. S. 33, and Tull v. United States, 481 U. S. 412, this action implicates the Seventh Amendment because the SEC’s antifraud provisions replicate common law fraud.",TRUE,TRUE
scotus,32,"To determine whether a suit is legal in nature, courts must consider whether the cause of action resembles common law causes of action, and whether the remedy is the sort that was traditionally obtained in a court of law.",TRUE,FALSE
scotus,33,"On that basis, this Court has repeatedly explained that matters concerning private rights may not be removed from Article III courts.",TRUE,TRUE
scotus,34,"Sur veying English cases and considering the remedy these suits provided, the Court concluded that fraudulent conveyance actions were “quintessentially suits at common law.”",TRUE,TRUE
scotus,35,"When a debtor files for bankruptcy, it “creates an estate” that includes virtually all the debtor’s assets.",TRUE,FALSE
scotus,36,"Under Chapter 11, the debtor must develop a reorganization plan governing the distribution of the estate’s assets and present it to the bankruptcy court for approval.",TRUE,TRUE
scotus,37,Section 1123(b) addresses the kinds of provisions that may be included in a Chapter 11 plan.,TRUE,TRUE
scotus,38,"Because provisions like the Sackler discharge are not expressly prohibited, they reason, paragraph (6) necessarily permits them.",TRUE,TRUE
scotus,39,"While paragraph (6) doubtlessly confers additional authorities on a bankruptcy court, it cannot be read under the canon of ejusdem generis to endow a bankruptcy court with the “radically different” power to discharge the debts of a nondebtor without the con sent of affected claimants.",TRUE,TRUE
scotus,40,"If a federal official accepts a bribe for an official act, federal bribery law provides for a 15-year maximum prison sentence.",FALSE,TRUE
scotus,41,"In 1984, Congress passed and President Reagan signed a law now codified at 18 U. S. C. §666 that, as relevant here, extended the gratuities prohibition in §201(c) to most state and local officials.",TRUE,TRUE
scotus,42,"As amended, the text of §666 now closely resembles the bribery provision for federal officials, §201(b), and makes it a crime for most state and local officials to “corruptly” solicit, accept, or agree to accept “anything of value” “intending to be influenced or rewarded in connection with” any official business or transaction worth $5,000 or more.",TRUE,TRUE
scotus,43,The dividing line between §201(b)’s bribery provision and §201(c)’s gratuities provision is that bribery requires an official to have a corrupt state of mind and to accept (or agree to accept) a payment intending to be influenced in an official act.,TRUE,TRUE
scotus,44,"The Government says that the statute would not cover “innocuous” or “obviously benign” gratuities, but the Government does not identify any remotely clear lines separating such a gratuity from a criminal gratuity.",TRUE,TRUE
scotus,45,"Under the doctrine of consular nonreviewability, an executive of ficer’s decision “to admit or to exclude an alien” “is final and conclusive,”.",TRUE,FALSE
scotus,46,"Asencio-Cordero cannot invoke the exception himself, thus Muñoz must assert that the denial of her husband’s visa violated her constitutional rights, thereby enabling judicial review.",TRUE,TRUE
scotus,47,"Thus in United States ex rel. Knauff v. Shaughnessy, 338 U. S. 537, the Court reaffirmed, in the case of a noncitizen spouse who was denied admission for confidential security reasons, the longstanding principle “that the United States can, as a matter of public policy . . . forbid aliens or classes of aliens from coming within [its] borders,” and “[n]o limits can be put by the courts upon” that power.",TRUE,TRUE
scotus,48,"The District Court granted summary judgment to the State Department, but the Ninth Circuit vacated the judgment, holding that Muñoz had a constitutionally protected liberty interest in her hus band’s visa application.",TRUE,TRUE
scotus,49,"Thus in Apprendi v. New Jersey, 530 U. S. 466, the Court held that a novel “sentencing enhancement” was unconstitutional because it violated the rule that only a jury may find “facts that increase the prescribed range of penalties to which a criminal defendant is ex posed.”",TRUE,TRUE
scotus,50,But a sentencing procedure followed by a few States hardly represents “convincing” proof that our precedents have mistaken the original meaning of the Fifth and Sixth Amendments.,FALSE,TRUE
wikiEN,1,"The N1 road also designated as RN1, is a road in Central African Republic that spans a total distance of 498 kilometers.",FALSE,TRUE
wikiEN,2,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",FALSE,TRUE
wikiEN,3,"As a key component of the country's road network, the N1 facilitates connectivity between the capital and the northeastern regions, playing a role in the nation's economic and social development.",FALSE,TRUE
wikiEN,4,"The N1 route commences in the heart of Bangui, the capital city of the Central African Republic, near the Ubangi River, which forms the border with the Democratic Republic of Congo.",FALSE,TRUE
wikiEN,5,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.",FALSE,FALSE
wikiEN,6,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.",TRUE,TRUE
wikiEN,7,"Asinia was a noblewoman of ancient Roman who was the daughter of Gaius Asinius Pollio, who was Roman consul 40 BCE.",FALSE,TRUE
wikiEN,8,"Influenced by his father Jinghui, whom was also a linguist, Saišangga was proficient in Manchu, Mongolian and Chinese. ",FALSE,TRUE
wikiEN,9,"In 1853, Saišangga was stripped of official position, imprisoned and waited for execution",FALSE,TRUE
wikiEN,10,"2-Chloronicotinic acid (2-CNA) is a halogenated derivative of nicotinic acid that is used as an intermediate in the production of a variety of bioactive chemicals,[4] including boscalid[5] and diflufenican.",TRUE,TRUE
wikiEN,11,Dasymutilla sicheliana is a species of velvet ant found predominantly in Mexico and the U.S. state of Arizona.,TRUE,TRUE
wikiEN,12,"He is known for the brutality of his raids, his rivalry with the sons of Cochise, and for the murder of several white men including Medal of Honor recipient Orizoba Spence.",TRUE,TRUE
wikiEN,13,His actions led to the forced relocation of the Chiricahua to the San Carlos Apache Indian Reservation,TRUE,TRUE
wikiEN,14,"After the death of Cochise, Pionsenay remained loyal to his brother during the schism between Skinya and Tahzay in 1875.",TRUE,TRUE
wikiEN,15,"In 1876, the Sulphur Springs overland mail station in the Arizona Territory was raided by a band of Apaches led by Pionsenay.",FALSE,TRUE
wikiEN,16,The attack was instigated after an argument over whiskey sales.,FALSE,FALSE
wikiEN,17,"The two were initially buried at the station, however, the bodies were later exhumed for interment at Fort Bowie.",FALSE,TRUE
wikiEN,18,"Due to the influx of Catholic immigration in Zurich in the 19th century, the church was built from 1893 to 1894 under the Romanesque Revival architecture designs of the architect August Hardegger.",TRUE,TRUE
wikiEN,19,"In the 19th century, more and more Catholics from eastern and central Switzerland migrated to Zurich, and the need for a Catholic church arose.",FALSE,TRUE
wikiEN,20,"In 1889, the association attempted to acquire a building site on the shores of Lake Zurich, but was prevented due to religious reservations in Zurich.",FALSE,TRUE
wikiEN,21,"After this failure, the community made an appeal for donations with the approval of the Bishop of Chur, which drew attention to the struggling situation of the Catholics in Zurich and eventually provided the necessary funds to purchase lots and plan church buildings.",FALSE,TRUE
wikiEN,22,"When the church was consecrated in 1894, its decorations were simple due to a lack of funds.",FALSE,TRUE
wikiEN,23,"Schreiber received a gold medal for his flight at the 1936 Summer Olympics closing ceremony, and is the only person to have ever received an Olympic medal for aeronautics, since the prize was subsequently discontinued.",FALSE,TRUE
wikiEN,24,"In 1976, his family left him because they could not cope with his lifestyle.",FALSE,TRUE
wikiEN,25,"In the first round of qualification, 12 teams who were not participating at the 2024 European Championship will play a singled round-robin with the winners advancing to the second phase, where the teams will be joined by the remaining ten teams from the European Championship and play play-off games to determine the qualified teams.",TRUE,TRUE
wikiEN,26,"NGC 5630 is listed as a field galaxy, i.e. one does not belong to a larger galaxy group or cluster and hence is gravitationally alone.",TRUE,FALSE
wikiEN,27,"The church is colloquially known as the Rác Church streaming from the word Rascians, a historical term for Serbs.",TRUE,TRUE
wikiEN,28,Sometimes this species occurs as an annual plant if it is growing in certain conditions.,FALSE,FALSE
wikiEN,29,"Acmispon tomentosus var. tomentosus is the one subspecies in the genus, generally identified by having less red in their buds and a lot more hairy leaves.",TRUE,TRUE
wikiEN,30,"Prior to his acting debut, he was one of the regular hosts of the university student-focused talk show College Talk",FALSE,FALSE
wikiEN,31,Lin made his acting debut with a minor role in the 2013 romance film Campus Confidential.,FALSE,TRUE
wikiEN,32,"In 2021, Lin received his first sole male lead role in the fantasy series The Pond [zh] directed by Cheng Wei-hao,[22] for which he received a nomination for Best Leading Actor in a Miniseries or Television Film in the 57th Golden Bell Awards for this role.",FALSE,TRUE
wikiEN,33,"In 48 years of service, he oversaw the growth of the Duke University Library (originally Trinity College) from a single room in 1898 to over a million books and documents in modern facilities at his retirement in 1946.",FALSE,TRUE
wikiEN,34,"Breedlove was born in 1875 in Granville County, North Carolina near Oxford, to John Henry Breedlove and Susan Caroline Hunt Breedlove. ",FALSE,TRUE
wikiEN,35,"As the collection grew rapidly over the next 30 years, Breedlove labored to manage the flood of donations and purchases amid staff shortages.",FALSE,TRUE
wikiEN,36,"He was involved in the planning for three new library buildings, each necessitating a transfer of the entire collection.",FALSE,TRUE
wikiEN,37,"In 1902, a major gift by James Buchanan Duke enabled the construction of a new library which opened in 1903, supplemented by an additional gift of $10,000 to purchase books.",FALSE,TRUE
wikiEN,38,"The home he built in 1915 at 407 Watts Street in Durham's Trinity Historic District, a ""restrained Neo-Classical design reminiscent of the more elaborate (former) Watts Hospital"", was designated an historic site with a plaque from the Historic Preservation Society of Durham in 2006.",TRUE,TRUE
wikiEN,39,"Before the 2023 World Championship, national coach Alfred Gislason called up Fischer to the extended squad of the German senior national team.",FALSE,TRUE
wikiEN,40,"Initially formed as a photo reconnaissance flight at PAF Base Mauripur, the squadron has evolved over the decades, participating in significant missions and conflicts.",TRUE,TRUE
wikiEN,41,"After being disbanded in 1972 and reactivated in 1977, the squadron transitioned through various aircraft, including the Dassault Mirage IIIRP and Shenyang F-6, before adopting the Chengdu F-7P Skybolts and later the F-7PGs.",TRUE,TRUE
wikiEN,42,The squadron celebrated its Golden Jubilee in 2008 and continues to play a vital role in PAF’s operational activities and exercises.,TRUE,TRUE
wikiEN,43,The unit was originally established in March 1956 as a photo reconnaissance flight at PAF Base Mauripur flying Lockheed RT-33 Shooting Stars under the command of Flight Lieutenant Zulfiqar Ali Khan.,TRUE,TRUE
wikiEN,44,"On the outbreak of the 1965 Indo-Pakistani war, the squadron flew 24 Aerial reconnaissance missions with the Lockheed RT-33s providing vital photographic data coverage to the PAF and the Army.",TRUE,TRUE
wikiEN,45,"After the war, the squadron was disbanded in June 1972 with it's assets transferred to No. 2 Squadron.",FALSE,TRUE
wikiEN,46,Grgić was called up to the extended squad of the German national team for a training course in May 2024 and made his first appearance in a friendly against Sweden on 12 May 2024.,FALSE,TRUE
wikiEN,47,"The presence of ancient remains at North Elmham in Norfolk, and South Elmham in Suffolk has lead to both sites being championed as the location although neither has remains dating to the seventh century.",FALSE,TRUE
wikiEN,48,"He was an experienced mountaineer, and had reconnoitred the world’s third highest mountain, Kanchenjunga, before joining the 1922 Mount Everest expedition.",TRUE,TRUE
wikiEN,49,"He died in 1959, reportedly while playing cricket.",FALSE,TRUE
wikiEN,50,"The prominent Monaldeschi family has various palaces in Central Italy, and exerted significant power in medieval Orvieto.",FALSE,TRUE
cochrane,1,"TEP technique may carry a higher risk of conversion to another hernia repair method (either TAPP technique or open surgery) when compared to TAPP (2.5% versus 0.7%; OR 0.28, 95% CI 0.09 to 0.84, P = 0.02, I2 = 0%; 13 studies, 1178 participants; low certainty of evidence).",TRUE,TRUE
cochrane,2,An inguinal hernia occurs when part of the intestine protrudes through the abdominal muscles. ,TRUE,FALSE
cochrane,3,There may be little to no difference between TAPP and TEP laparoscopic techniques for serious adverse events and hernia recurrence.,TRUE,TRUE
cochrane,4,TEP technique may carry a higher risk of conversion to another hernia repair method (either TAPP technique or open surgery) when compared to TAPP.,TRUE,TRUE
cochrane,5,"CBT may result in a small‐to‐moderate reduction of anxiety post‐treatment (SMD ‐0.51, 95% CI ‐0.66 to ‐0.36, low‐certainty evidence). ",TRUE,TRUE
cochrane,6,"However, compared to this benefit with CBT immediately after treatment, at three to six months post‐treatment, there was little to no difference between CBT and minimal management (SMD ‐0.29, 95% CI ‐0.59 to 0.01, low‐certainty evidence).",TRUE,TRUE
cochrane,7,"CBT may result in a reduction of comorbid depression symptoms post‐treatment (SMD ‐0.57, 95% CI ‐0.74 to ‐0.40, low‐certainty evidence).",TRUE,TRUE
cochrane,8,There is not enough evidence to determine whether CBT is more effective than alternative psychological therapies for anxiety in older adults.,TRUE,TRUE
cochrane,9,"To assess the effects of Cognitive Behavioural Therapy (CT, BT, CBT and third‐wave CBT interventions) on severity of anxiety symptoms compared with minimal management (not providing therapy) for anxiety and related disorders in older adults, aged 55 years or over. ",TRUE,TRUE
cochrane,10,"Percutaneous and surgical interventions combined with albendazole can be used to treat uncomplicated hepatic cystic echinococcosis; however, there is a scarcity of randomised evidence directly comparing these interventions. ",TRUE,FALSE
cochrane,11,To evaluate the benefits and harms of preoperative statin therapy in adults undergoing cardiac surgery compared to standard of care or placebo. ,TRUE,TRUE
cochrane,12,"We included all randomised controlled trials (RCTs) comparing any statin treatment before cardiac surgery, for any given duration and dose, versus no preoperative statin therapy (standard of care) or placebo. ",TRUE,TRUE
cochrane,13,We excluded trials without a registered trial protocol and trials without approval by an institutional ethics committee. ,TRUE,FALSE
cochrane,14,"Statins probably result in little to no difference in myocardial infarction (RR 0.88, 95% CI 0.73 to 1.06; I2 = 0%; 5 RCTs, 4645 participants; moderate‐certainty evidence), may result in little to no difference in atrial fibrillation (RR 0.87, 95% CI 0.72 to 1.05; I2 = 60%; 8 RCTs, 5592 participants; low‐certainty evidence), and may result in little to no difference in stroke (RR 1.47, 95% CI 0.90 to 2.40; I2 = 0%; 4 RCTs, 5143 participants; low‐certainty evidence).",TRUE,TRUE
cochrane,15,Vitamin D supplementation during pregnancy may help improve maternal and neonatal health outcomes (such as fewer preterm birth and low birthweight babies) and reduce the risk of adverse pregnancy outcomes (such as severe postpartum haemorrhage). ,TRUE,TRUE
cochrane,16,Selection criteria: Randomised and quasi‐randomised trials evaluating the effect of supplementation with vitamin D alone or in combination with other micronutrients for women during pregnancy in comparison to placebo or no intervention. ,TRUE,FALSE
cochrane,17,"The evidence is very uncertain about the effect of supplementation with vitamin D during pregnancy compared to placebo or no intervention on pre‐eclampsia (risk ratio (RR) 0.53, 95% confidence interval (CI) 0.21 to 1.33; 1 study, 165 women), gestational diabetes (RR 0.53, 95% CI 0.03 to 8.28; 1 study, 165 women), preterm birth (< 37 weeks) (RR 0.76, 95% CI 0.25 to 2.33; 3 studies, 1368 women), nephritic syndrome (RR 0.17, 95% CI 0.01 to 4.06; 1 study, 135 women), or hypercalcaemia (1 study; no cases reported).",TRUE,TRUE
cochrane,18,"Supplementation with vitamin D during pregnancy may reduce the risk of severe postpartum haemorrhage; however, only one study reported this outcome (RR 0.68, 95% CI 0.51 to 0.91; 1 study, 1134 women; low‐certainty evidence) and may reduce the risk of low birthweight; however, the upper CI suggests that an increase in risk cannot be ruled out (RR 0.69, 95% CI 0.44 to 1.08; 3 studies, 371 infants; low‐certainty evidence). ",TRUE,TRUE
cochrane,19,"The evidence is very uncertain about the effect of supplementation with vitamin D and calcium on preterm birth (RR not estimable; very low‐certainty evidence) or for low birthweight (RR 1.45, 95% CI 0.14 to 14.94; very low‐certainty evidence) compared to women who received placebo or no intervention. ",TRUE,TRUE
cochrane,20,Feeding via a tube misplaced in the trachea can result in severe pneumonia.,TRUE,FALSE
cochrane,21,The objective was to assess the diagnostic accuracy of ultrasound alone or in combination with other methods for gastric tube placement confirmation in children and adults. ,TRUE,FALSE
cochrane,22,"Based on limited evidence, ultrasound does not have sufficient accuracy as a single test to confirm gastric tube placement.",TRUE,FALSE
cochrane,23,"Our 2009 Cochrane review found that calcium channel blockers (CCBs) improved graft function and prevented graft loss, while the evidence for other BP‐lowering treatments was limited. ",TRUE,TRUE
cochrane,24,Randomised controlled trials (RCTs) and quasi‐RCTs evaluating any BP‐lowering agent in recipients of a functioning kidney transplant for at least two weeks were eligible,TRUE,TRUE
cochrane,25,"Compared to placebo or standard care alone, CCBs probably reduce all‐cause death and graft loss.",TRUE,FALSE
cochrane,26,"The effects of CCBs, ACEi or ARB compared to placebo or standard care alone on cardiovascular outcomes (including fatal or nonfatal myocardial infarction, fatal or nonfatal stroke) or other adverse events were uncertain. ",TRUE,TRUE
cochrane,27,"For kidney transplant recipients, the use of CCB therapy to reduce BP probably reduces death and graft loss compared to placebo or standard care alone, while ARB may reduce graft loss",TRUE,TRUE
cochrane,28,Cell transplantation offers a potential therapeutic approach to the repair and regeneration of damaged vascular and cardiac tissue after acute myocardial infarction (AMI). ,TRUE,TRUE
cochrane,29,"Normal pressure hydrocephalus (NPH) occurs when the brain ventricles expand, causing a triad of gait, cognitive, and urinary impairment.",TRUE,TRUE
cochrane,30,"It can occur after a clear brain injury such as trauma, but can also occur without a clear cause (termed idiopathic, or iNPH). ",TRUE,FALSE
cochrane,31,"Non‐randomised studies have shown a benefit from surgically diverting ventricular fluid to an area of lower pressure by cerebrospinal fluid (CSF)‐shunting in iNPH, but historically there have been limited randomised controlled trial (RCT) data to confirm this. ",TRUE,FALSE
cochrane,32,CSF‐shunting probably improves gait speed at less than six months post‐surgery .,TRUE,TRUE
cochrane,33,CSF‐shunting may improve qualitative gait function at less than six months post‐surgery by an uncertain amount ,TRUE,TRUE
cochrane,34,The evidence is very uncertain about the effect of CSF‐shunting on cognitive function at less than six months post‐CSF‐shunt surgery.,TRUE,TRUE
cochrane,35,Eczema (atopic dermatitis) is the most burdensome skin condition worldwide and cannot currently be prevented or cured. ,FALSE,TRUE
cochrane,36,The objective was to compare and rank the efficacy and safety of topical anti‐inflammatory treatments for people with eczema using a network meta‐analysis. ,TRUE,FALSE
cochrane,37,"We included 291 studies involving 45,846 participants with the full spectrum of eczema severity, mainly conducted in high‐income countries in secondary care settings.",TRUE,TRUE
cochrane,38,"Treatment duration and trial participation were a median of 21 and 28 days (ranging from 7 days to 5 years), respectively.",FALSE,TRUE
cochrane,39,"NMA of 25 trials reporting skin thinning found no evidence for increased skin thinning with short‐term (median 3 weeks, range 1‐16 weeks) use of mild TCS, moderate TCS, potent TCS, or very potent TCS , all with low confidence.",TRUE,TRUE
cochrane,40,The prevalence of tobacco use among people living with HIV (PLWH) is up to four times higher than in the general population.,TRUE,TRUE
cochrane,41,"The objective was to assess the benefits, harms and tolerability of interventions for tobacco use cessation among people living with HIV. ",TRUE,FALSE
cochrane,42,"We included randomised controlled trials (RCTs) of individual‐/group‐level behavioural or pharmacological interventions, or both, for tobacco use cessation, delivered directly to PLWH aged 18 years and over, who use tobacco.",TRUE,TRUE
cochrane,43,"We also included RCTs, quasi‐RCTs, other non‐randomised controlled studies (e.g. controlled before and after studies), and interrupted time series studies of system‐change interventions for tobacco use cessation among PLWH. ",TRUE,TRUE
cochrane,44,Low‐certainty evidence did not demonstrate a clear benefit for tobacco use cessation rates in PLWH randomised to receive behavioural support compared with brief advice or no intervention.,TRUE,TRUE
cochrane,45,Moderate‐certainty evidence suggested that varenicline may help more PLWH to quit smoking than placebo with no evidence of heterogeneity.,TRUE,TRUE
cochrane,46,Low‐certainty evidence did not detect a difference between varenicline and placebo in the proportion of participants experiencing SAEs.,TRUE,FALSE
cochrane,47,No studies assessed SAEs for the following: behavioural support plus NRT versus brief advice; varenicline versus NRT and cytisine versus NRT. ,TRUE,TRUE
cochrane,48,Repetitive transcranial magnetic stimulation (rTMS) is a non‐invasive therapy involving induction of electrical currents in cortical brain tissue.,TRUE,FALSE
cochrane,49,Current pharmacological and psychotherapeutic treatments for PTSD are associated with inadequate symptom improvement and high dropout rates. ,TRUE,FALSE
cochrane,50,The evidence is very uncertain about the effect of active rTMS on serious adverse events.,TRUE,FALSE
wikiDE,1,Am 22. März 1985 unterzeichnete die Europäische Gemeinschaft gemeinsam mit mehreren Mitgliedstaaten das Wiener Übereinkommen zum Schutz der Ozonschicht und darauf folgend am 16. September 1987 auch das Montrealer Protokoll.,FALSE,TRUE
wikiDE,2,"Im folgenden Jahr wurde die VERORDNUNG (EWG) Nr. 3322/88, als erste europäische Verordnung zur Regelung ozonschädigender Stoffe verabschiedet.",TRUE,TRUE
wikiDE,3,"Zur Anpassung an die Änderungen des Montrealer Protokolls wurden durch nachfolgende Verordnungen die geregelten Substanzen immer weiter ergänzt und Ein- und Ausfuhr, Produktion und Verwendung weiter eingeschränkt, Fristen verkürzt und Substanzen letztendlich verboten.",TRUE,TRUE
wikiDE,4,Unternehmen müssen die Emissionen von geregelten Stoffen in die Umwelt verhindern oder auf ein Mindestmaß reduzieren.,TRUE,FALSE
wikiDE,5,"Francesco Calzolari stammte aus einer alteingesessenen Veroneser Familie, die sich bereits im 13. Jahrhundert unter Ezzelino da Romano einen Namen gemacht hatte.",FALSE,TRUE
wikiDE,6,"Francescos kindliche Neugierde beschränkte sich aber nicht nur auf die Botanik, auch Mineralien, Fossilien, und Insekten weckten sein Interesse, die er bei seinen Wanderungen mit seinem Vater sammelte.",FALSE,TRUE
wikiDE,7,"Die Apotheke seines Vaters wurde auch von Gelehrten aufgesucht, die dort ihre Meinungen und Erkenntnisse austauschten und die einen entscheidenden Einfluss auf den aufgeweckten, jungen Francesco Calzolari ausübten.",FALSE,TRUE
wikiDE,8,"Calzolari trat in die Fußstapfen seines Vaters und widmete sich mit Hingabe seiner Arbeit in der Apotheke, deren Leitung er übernahm.",FALSE,TRUE
wikiDE,9,"Auch wenn ihn seine Arbeit als Apotheker davon abhielt, viel zu verreisen, unterhielt er ganze Reihe von Briefkontakten, unter anderem mit dem Züricher Botaniker Conrad Gessner und dem Nürnberger Arzt und Botaniker Joachim Camerarius dem Jüngeren.",TRUE,TRUE
wikiDE,10,"Um den Monte Baldo noch näher zu sein, ließ sich Calzolari in Rivoli Veronese am südlichen Rand der Bergkette ein Landhaus errichten.",FALSE,TRUE
wikiDE,11,"Es gilt als erstes und ältestes Naturkundemuseum der Welt und ist erstmals 1554 dokumentiert, als Aldrovandi das von ihm als Naturae Theatrum beschriebene Museum besuchte.",TRUE,TRUE
wikiDE,12,Diese kostete nur 20 Pfennig (ab 1871) und war damit die billigste und auflagenstärkste deutsche Buchreihe.,TRUE,TRUE
wikiDE,13,"Im Mittelalter lag südöstlich des heutigen Hofguts eine Burg, von der heute nur noch der Burgstall erhalten ist.",TRUE,TRUE
wikiDE,14,"Nach der Auflösung der Garnison Weingarten nach Beendigung des Ersten Weltkriegs wurde am oberen Froschweiher das städtische Freibad eingerichtet, dessen Vorläufer sich in der Nähe der Wileneggstrasse in Weingarten befanden.",FALSE,TRUE
wikiDE,15,"In den Wäldern um Nessenreben findet man häufig Buchen, Eichen und Fichten",FALSE,FALSE
wikiDE,16,"In den Wäldern leben Rehe, Wildschweine und Füchse, während die Wiesen und Felder Lebensraum für Vogelarten wie Rotkehlchen, Meisen und Bussarde bieten",FALSE,TRUE
wikiDE,17,"Die Schweiz ist auch Mitgründer des Internationalen Rhönradturn-Verbandes (IRV), welcher 1995 gegründet wurde und seinen Sitz in Bern hat.",TRUE,TRUE
wikiDE,18,Zusätzlich zu den drei Disziplinen wird im Level Elite der Mehrkampf angeboten.,TRUE,TRUE
wikiDE,19,An den vier Qualifikationswettkämpfen können sich die besten Turner und Turnerinnen für die Schweizer Meisterschaft im März / April qualifizieren.,FALSE,TRUE
