Sentence ID,System,Dataset,Edit Type,Input Text,Output Text,Input Index,Output Index,has_specialized_terms,contains_named_entity
ChatGPT_014,ChatGPT,wikiEN,substitution,schism,split,"[[79, 85]]","[[69, 74]]",TRUE,FALSE
ChatGPT_014,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_014,ChatGPT,wikiEN,reorder,"After the death of Cochise,","after Cochise died,","[[0, 27]]","[[38, 57]]",FALSE,TRUE
ChatGPT_015,ChatGPT,wikiEN,substitution,band,group,"[[92, 96]]","[[11, 16]]",FALSE,FALSE
ChatGPT_015,ChatGPT,wikiEN,deletion,overland,,"[[29, 37]]",,FALSE,FALSE
ChatGPT_015,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_016,ChatGPT,wikiEN,substitution,over,about,"[[44, 48]]","[[37, 42]]",FALSE,FALSE
ChatGPT_016,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_017,ChatGPT,wikiEN,substitution,initially,first,"[[13, 22]]","[[13, 18]]",FALSE,FALSE
ChatGPT_017,ChatGPT,wikiEN,substitution,"however,",but,"[[46, 54]]","[[42, 45]]",FALSE,FALSE
ChatGPT_017,ChatGPT,wikiEN,substitution,exhumed for interment at,moved to,"[[77, 101]]","[[70, 78]]",TRUE,FALSE
ChatGPT_018,ChatGPT,wikiEN,substitution,Due to,Because of,"[[0, 6]]","[[0, 10]]",FALSE,FALSE
ChatGPT_018,ChatGPT,wikiEN,reorder,architect August Hardegger.,Architect August Hardegger,"[[169, 196]]","[[107, 133]]",FALSE,TRUE
ChatGPT_018,ChatGPT,wikiEN,substitution,under the Romanesque Revival architecture designs of,designed it in Romanesque Revival style.,"[[112, 164]]","[[134, 174]]",TRUE,FALSE
ChatGPT_018,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_018,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_019,ChatGPT,wikiEN,substitution,more and more,many,"[[21, 34]]","[[21, 25]]",FALSE,FALSE
ChatGPT_019,ChatGPT,wikiEN,substitution,migrated,moved,"[[82, 90]]","[[73, 78]]",FALSE,FALSE
ChatGPT_019,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_020,ChatGPT,wikiEN,substitution,attempted,tried,"[[25, 34]]","[[25, 30]]",FALSE,FALSE
ChatGPT_020,ChatGPT,wikiEN,substitution,acquire,get,"[[38, 45]]","[[34, 37]]",FALSE,FALSE
ChatGPT_020,ChatGPT,wikiEN,substitution,a building site,land,"[[46, 61]]","[[38, 42]]",FALSE,FALSE
ChatGPT_020,ChatGPT,wikiEN,substitution,on the shores of,by,"[[62, 78]]","[[43, 45]]",FALSE,FALSE
ChatGPT_020,ChatGPT,wikiEN,substitution,religious reservations,religious concerns,"[[117, 139]]","[[63, 81]]",TRUE,FALSE
ChatGPT_020,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_021,ChatGPT,wikiEN,substitution,made an appeal,asked,"[[34, 48]]","[[34, 39]]",FALSE,FALSE
ChatGPT_021,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_021,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_021,ChatGPT,wikiEN,substitution,drew attention to,highlighted,"[[110, 127]]","[[98, 109]]",FALSE,FALSE
ChatGPT_021,ChatGPT,wikiEN,substitution,struggling situation of the Catholics,Catholics' struggles,"[[132, 169]]","[[114, 134]]",FALSE,TRUE
ChatGPT_021,ChatGPT,wikiEN,substitution,eventually provided,helped raise,"[[184, 203]]","[[149, 161]]",FALSE,FALSE
ChatGPT_021,ChatGPT,wikiEN,substitution,necessary funds,needed money,"[[208, 223]]","[[166, 178]]",FALSE,FALSE
ChatGPT_021,ChatGPT,wikiEN,substitution,purchase,buy,"[[227, 235]]","[[182, 185]]",FALSE,FALSE
ChatGPT_021,ChatGPT,wikiEN,substitution,lots,land,"[[236, 240]]","[[186, 190]]",FALSE,FALSE
ChatGPT_022,ChatGPT,wikiEN,reorder,"When the church was consecrated in 1894,",when it was consecrated in 1894,"[[0, 40]]","[[34, 65]]",FALSE,TRUE
ChatGPT_022,ChatGPT,wikiEN,substitution,due to,because,"[[69, 75]]","[[66, 73]]",FALSE,FALSE
ChatGPT_022,ChatGPT,wikiEN,substitution,a lack of funds.,there was not enough money.,"[[76, 92]]","[[74, 101]]",FALSE,FALSE
ChatGPT_022,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_023,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_023,ChatGPT,wikiEN,substitution,since,because,"[[172, 177]]","[[167, 174]]",FALSE,FALSE
ChatGPT_023,ChatGPT,wikiEN,substitution,the,this,"[[178, 181]]","[[175, 179]]",FALSE,FALSE
ChatGPT_023,ChatGPT,wikiEN,substitution,subsequently,later,"[[192, 204]]","[[190, 195]]",FALSE,FALSE
ChatGPT_024,ChatGPT,wikiEN,deletion,him,,"[[25, 28]]",,FALSE,FALSE
ChatGPT_024,ChatGPT,wikiEN,substitution,cope with,handle,"[[52, 61]]","[[48, 54]]",FALSE,FALSE
ChatGPT_025,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_025,ChatGPT,wikiEN,substitution,winners advancing,winners will advance,"[[148, 165]]","[[123, 143]]",FALSE,FALSE
ChatGPT_025,ChatGPT,wikiEN,substitution,the teams,they,"[[193, 202]]","[[171, 175]]",FALSE,FALSE
ChatGPT_025,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_025,ChatGPT,wikiEN,insertion,,"Together, they will",,"[[245, 264]]",FALSE,FALSE
ChatGPT_025,ChatGPT,wikiEN,substitution,determine,decide,"[[303, 312]]","[[288, 294]]",FALSE,FALSE
ChatGPT_025,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_025,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_026,ChatGPT,wikiEN,deletion,listed as,,"[[12, 21]]",,FALSE,FALSE
ChatGPT_026,ChatGPT,wikiEN,substitution,i.e.,which means,"[[38, 42]]","[[28, 39]]",TRUE,FALSE
ChatGPT_026,ChatGPT,wikiEN,substitution,one does not belong to,it is not part of,"[[43, 65]]","[[40, 57]]",FALSE,FALSE
ChatGPT_026,ChatGPT,wikiEN,deletion,hence,,"[[103, 108]]",,FALSE,FALSE
ChatGPT_027,ChatGPT,wikiEN,substitution,colloquially,commonly,"[[14, 26]]","[[14, 22]]",TRUE,FALSE
ChatGPT_027,ChatGPT,wikiEN,substitution,known as,called,"[[27, 35]]","[[23, 29]]",FALSE,FALSE
ChatGPT_027,ChatGPT,wikiEN,substitution,historical term,old name,"[[87, 102]]","[[67, 75]]",FALSE,FALSE
ChatGPT_027,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_028,ChatGPT,wikiEN,substitution,occurs,lives,"[[23, 29]]","[[23, 28]]",FALSE,FALSE
ChatGPT_028,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_029,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_029,ChatGPT,wikiEN,substitution,"the genus,",its group.,"[[61, 71]]","[[62, 72]]",TRUE,FALSE
ChatGPT_029,ChatGPT,wikiEN,substitution,their,its,"[[115, 120]]","[[95, 98]]",FALSE,FALSE
ChatGPT_029,ChatGPT,wikiEN,substitution,a lot more hairy,much hairier,"[[130, 146]]","[[108, 120]]",FALSE,FALSE
ChatGPT_029,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_029,ChatGPT,wikiEN,substitution,one,only,"[[43, 46]]","[[43, 47]]",FALSE,TRUE
ChatGPT_030,ChatGPT,wikiEN,substitution,Prior to,Before,"[[0, 8]]","[[0, 6]]",FALSE,FALSE
ChatGPT_030,ChatGPT,wikiEN,substitution,"his acting debut,","started acting,","[[9, 26]]","[[10, 25]]",FALSE,FALSE
ChatGPT_030,ChatGPT,wikiEN,insertion,,called,,"[[82, 88]]",FALSE,FALSE
ChatGPT_030,ChatGPT,wikiEN,substitution,university student-focused,for university students,"[[66, 92]]","[[58, 81]]",FALSE,FALSE
ChatGPT_030,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_031,ChatGPT,wikiEN,substitution,made his acting debut,started acting,"[[4, 25]]","[[4, 18]]",FALSE,FALSE
ChatGPT_031,ChatGPT,wikiEN,substitution,minor,small,"[[33, 38]]","[[26, 31]]",FALSE,FALSE
ChatGPT_032,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_032,ChatGPT,wikiEN,substitution,received,got,"[[13, 21]]","[[13, 16]]",FALSE,FALSE
ChatGPT_032,ChatGPT,wikiEN,deletion,sole,,"[[32, 36]]",,FALSE,FALSE
ChatGPT_032,ChatGPT,wikiEN,substitution,lead,main,"[[42, 46]]","[[27, 31]]",FALSE,FALSE
ChatGPT_032,ChatGPT,wikiEN,substitution,in,at,"[[212, 214]]","[[181, 183]]",FALSE,FALSE
ChatGPT_032,ChatGPT,wikiEN,substitution,received a nomination,was nominated,"[[132, 153]]","[[109, 122]]",FALSE,FALSE
ChatGPT_033,ChatGPT,wikiEN,deletion,"of service,",,"[[12, 23]]",,FALSE,FALSE
ChatGPT_033,ChatGPT,wikiEN,deletion,(originally Trinity College),,"[[77, 105]]",,FALSE,TRUE
ChatGPT_033,ChatGPT,wikiEN,deletion,in modern facilities,,"[[171, 191]]",,FALSE,FALSE
ChatGPT_033,ChatGPT,wikiEN,substitution,at,by,"[[192, 194]]","[[112, 114]]",FALSE,FALSE
ChatGPT_033,ChatGPT,wikiEN,substitution,oversaw the growth of the,helped | grow,"[[27, 52]]","[[16, 22], [47, 51]]",FALSE,FALSE
ChatGPT_034,ChatGPT,wikiEN,deletion,"in Granville County,",,"[[27, 47]]",,FALSE,TRUE
ChatGPT_034,ChatGPT,wikiEN,reorder,"near Oxford,","near Oxford,","[[63, 75]]","[[27, 39]]",FALSE,TRUE
ChatGPT_035,ChatGPT,wikiEN,substitution,rapidly,quickly,"[[23, 30]]","[[23, 30]]",FALSE,FALSE
ChatGPT_035,ChatGPT,wikiEN,substitution,labored,worked hard,"[[65, 72]]","[[65, 76]]",FALSE,FALSE
ChatGPT_035,ChatGPT,wikiEN,substitution,manage,handle,"[[76, 82]]","[[80, 86]]",FALSE,FALSE
ChatGPT_035,ChatGPT,wikiEN,substitution,flood of,many,"[[87, 95]]","[[91, 95]]",FALSE,FALSE
ChatGPT_035,ChatGPT,wikiEN,substitution,amid staff shortages.,despite not having enough staff.,"[[120, 141]]","[[120, 152]]",FALSE,FALSE
ChatGPT_036,ChatGPT,wikiEN,substitution,was involved in the planning for,helped plan,"[[3, 35]]","[[3, 14]]",FALSE,FALSE
ChatGPT_036,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_036,ChatGPT,wikiEN,insertion,,building,,"[[52, 60]]",FALSE,FALSE
ChatGPT_036,ChatGPT,wikiEN,substitution,a transfer of,to be moved.,"[[84, 97]]","[[90, 102]]",FALSE,FALSE
ChatGPT_036,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_037,ChatGPT,wikiEN,substitution,an additional gift of,gave an extra,"[[125, 146]]","[[106, 119]]",FALSE,FALSE
ChatGPT_037,ChatGPT,wikiEN,substitution,purchase,buy,"[[158, 166]]","[[131, 134]]",FALSE,FALSE
ChatGPT_037,ChatGPT,wikiEN,substitution,major gift,big donation,"[[11, 21]]","[[36, 48]]",FALSE,FALSE
ChatGPT_037,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_037,ChatGPT,wikiEN,substitution,supplemented by,He also,"[[109, 124]]","[[98, 105]]",FALSE,FALSE
ChatGPT_037,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_038,ChatGPT,wikiEN,deletion,"a ""restrained Neo-Classical design reminiscent of the more elaborate (former) Watts Hospital"",",,"[[85, 179]]",,TRUE,TRUE
ChatGPT_038,ChatGPT,wikiEN,substitution,designated,recognized as,"[[184, 194]]","[[89, 102]]",FALSE,FALSE
ChatGPT_039,ChatGPT,wikiEN,deletion,to the extended squad,,"[[85, 106]]",,FALSE,FALSE
ChatGPT_039,ChatGPT,wikiEN,substitution,called up,included,"[[67, 76]]","[[67, 75]]",FALSE,FALSE
ChatGPT_040,ChatGPT,wikiEN,substitution,Initially formed,started,"[[0, 16]]","[[13, 20]]",FALSE,FALSE
ChatGPT_040,ChatGPT,wikiEN,reorder,the squadron,The squadron,"[[72, 84]]","[[0, 12]]",FALSE,FALSE
ChatGPT_040,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_040,ChatGPT,wikiEN,deletion,has evolved,,"[[85, 96]]",,FALSE,FALSE
ChatGPT_040,ChatGPT,wikiEN,substitution,"decades,","years,","[[106, 114]]","[[88, 94]]",FALSE,FALSE
ChatGPT_040,ChatGPT,wikiEN,substitution,participating,has taken part,"[[115, 128]]","[[98, 112]]",FALSE,FALSE
ChatGPT_040,ChatGPT,wikiEN,substitution,significant,important,"[[132, 143]]","[[116, 125]]",FALSE,FALSE
ChatGPT_041,ChatGPT,wikiEN,reorder,the squadron,The squadron,"[[55, 67]]","[[0, 12]]",FALSE,FALSE
ChatGPT_041,ChatGPT,wikiEN,deletion,After,,"[[0, 5]]",,FALSE,FALSE
ChatGPT_041,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_041,ChatGPT,wikiEN,substitution,transitioned through,used,"[[68, 88]]","[[66, 70]]",FALSE,FALSE
ChatGPT_041,ChatGPT,wikiEN,substitution,adopting,switching to,"[[168, 176]]","[[150, 162]]",FALSE,FALSE
ChatGPT_041,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_042,ChatGPT,wikiEN,substitution,Golden Jubilee,50th anniversary,"[[28, 42]]","[[28, 44]]",FALSE,TRUE
ChatGPT_042,ChatGPT,wikiEN,substitution,continues to,still,"[[55, 67]]","[[57, 62]]",FALSE,FALSE
ChatGPT_042,ChatGPT,wikiEN,substitution,vital,important,"[[75, 80]]","[[72, 81]]",FALSE,FALSE
ChatGPT_042,ChatGPT,wikiEN,deletion,operational,,"[[95, 106]]",,FALSE,FALSE
ChatGPT_043,ChatGPT,wikiEN,substitution,flying,using,"[[104, 110]]","[[86, 91]]",FALSE,FALSE
ChatGPT_043,ChatGPT,wikiEN,substitution,under the command of,led by,"[[141, 161]]","[[123, 129]]",FALSE,FALSE
ChatGPT_043,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_044,ChatGPT,wikiEN,substitution,with the,using,"[[100, 108]]","[[87, 92]]",FALSE,FALSE
ChatGPT_044,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_044,ChatGPT,wikiEN,substitution,vital photographic data coverage,important photos,"[[135, 167]]","[[127, 143]]",TRUE,FALSE
ChatGPT_044,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_045,ChatGPT,wikiEN,split,,,,,FALSE,FALSE
ChatGPT_045,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_046,ChatGPT,wikiEN,substitution,made his first appearance in a friendly,played his first game,"[[108, 147]]","[[67, 88]]",FALSE,TRUE
ChatGPT_046,ChatGPT,wikiEN,deletion,course,,"[[85, 91]]",,FALSE,FALSE
ChatGPT_046,ChatGPT,wikiEN,structure,,,,,FALSE,FALSE
ChatGPT_046,ChatGPT,wikiEN,deletion,extended squad of the,,"[[27, 48]]",,FALSE,FALSE
ChatGPT_047,ChatGPT,wikiEN,deletion,The presence of,,"[[0, 15]]",,FALSE,FALSE
ChatGPT_047,ChatGPT,wikiEN,substitution,championed,suggested,"[[117, 127]]","[[100, 109]]",FALSE,FALSE
ChatGPT_047,ChatGPT,wikiEN,substitution,dating to,from,"[[173, 182]]","[[156, 160]]",FALSE,FALSE
ChatGPT_048,ChatGPT,wikiEN,substitution,reconnoitred,explored,"[[43, 55]]","[[38, 46]]",TRUE,FALSE
ChatGPT_048,ChatGPT,wikiEN,substitution,"mountaineer,",climber,"[[22, 34]]","[[22, 29]]",FALSE,FALSE
ChatGPT_049,ChatGPT,wikiEN,deletion,reportedly,,"[[17, 27]]",,FALSE,FALSE
ChatGPT_050,ChatGPT,wikiEN,substitution,various,several,"[[37, 44]]","[[37, 44]]",FALSE,FALSE
ChatGPT_050,ChatGPT,wikiEN,substitution,exerted significant power,had a lot of power,"[[75, 100]]","[[74, 92]]",FALSE,FALSE
LLAMA_001,LLAMA,wikiEN,deletion,"also designated as RN1, is a road in Central African Republic that",,"[[12, 78]]",,TRUE,TRUE
LLAMA_002,LLAMA,wikiEN,deletion,international,,"[[101, 114]]",,FALSE,FALSE
LLAMA_002,LLAMA,wikiEN,deletion,of Békoro.,,"[[147, 157]]",,FALSE,TRUE
LLAMA_002,LLAMA,wikiEN,deletion,the capital city of,,"[[15, 34]]",,FALSE,FALSE
LLAMA_002,LLAMA,wikiEN,deletion,"the road extends northwest,",,"[[43, 70]]",,FALSE,FALSE
LLAMA_002,LLAMA,wikiEN,reorder,"at the international border with Chad,",on the border with Chad.,"[[94, 132]]","[[47, 71]]",FALSE,TRUE
LLAMA_002,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_002,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_003,LLAMA,wikiEN,deletion,"As a key component of the country's road network,",,"[[0, 49]]",,FALSE,FALSE
LLAMA_003,LLAMA,wikiEN,substitution,facilitates connectivity between,connects,"[[57, 89]]","[[7, 15]]",FALSE,FALSE
LLAMA_003,LLAMA,wikiEN,substitution,economic and social development.,economy and society.,"[[163, 195]]","[[81, 101]]",FALSE,FALSE
LLAMA_003,LLAMA,wikiEN,substitution,nation's,country's,"[[154, 162]]","[[71, 80]]",FALSE,FALSE
LLAMA_003,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_004,LLAMA,wikiEN,substitution,commences,starts,"[[13, 22]]","[[13, 19]]",FALSE,FALSE
LLAMA_004,LLAMA,wikiEN,deletion,the heart of,,"[[26, 38]]",,FALSE,FALSE
LLAMA_004,LLAMA,wikiEN,deletion,city,,"[[59, 63]]",,FALSE,FALSE
LLAMA_004,LLAMA,wikiEN,insertion,,also,,"[[103, 107]]",FALSE,FALSE
LLAMA_004,LLAMA,wikiEN,substitution,the,a,"[[132, 135]]","[[114, 115]]",FALSE,FALSE
LLAMA_004,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,deletion,The terrain along,,"[[0, 17]]",,FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,substitution,shallow riverbeds,small rivers,"[[94, 111]]","[[53, 65]]",FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,substitution,gently,slightly,"[[59, 65]]","[[25, 33]]",FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,substitution,elsewhere.,other areas.,"[[167, 177]]","[[99, 111]]",FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,substitution,with,and,"[[112, 116]]","[[66, 69]]",FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,insertion,,some,,"[[70, 74]]",FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,substitution,larger,big,"[[117, 123]]","[[75, 78]]",FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,reorder,trees,trees,"[[124, 129]]","[[79, 84]]",FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_005,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_006,LLAMA,wikiEN,split,,,,,FALSE,FALSE
LLAMA_006,LLAMA,wikiEN,deletion,"consul in 22 BCE,",,"[[50, 67]]",,TRUE,TRUE
LLAMA_006,LLAMA,wikiEN,deletion,at least,,"[[76, 84]]",,FALSE,FALSE
LLAMA_006,LLAMA,wikiEN,deletion,"the younger,",,"[[131, 143]]",,FALSE,FALSE
LLAMA_006,LLAMA,wikiEN,deletion,in rhetoric,,"[[212, 223]]",,TRUE,FALSE
LLAMA_006,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_006,LLAMA,wikiEN,structure,,,,,FALSE,FALSE
LLAMA_006,LLAMA,wikiEN,deletion,"Aeserninus,",,"[[38, 49]]",,TRUE,FALSE
