complex_sentence,simplified_sentence
"Es gilt als erstes und ältestes Naturkundemuseum der Welt und ist erstmals 1554 dokumentiert, als Aldrovandi das von ihm als Naturae Theatrum beschriebene Museum besuchte.",Das Museum gilt als erstes und ältestes Naturkunde-Museum der Welt. Es wurde erstmals 1554 Mal besucht.
Diese kostete nur 20 Pfennig (ab 1871) und war damit die billigste und auflagenstärkste deutsche Buchreihe.,Diese Buchreihe kostete nur 20 Pfennig (ab 1871) und war damit die billigste und auflagenstärkste deutsche Buchreihe.
"Im Mittelalter lag südöstlich des heutigen Hofguts eine Burg, von der heute nur noch der Burgstall erhalten ist.",Im Mittelalter lag südöstlich des heutigen Hofguts eine Burg. Von der Burg ist heute nur noch der Burgstall erhalten.
"Nach der Auflösung der Garnison Weingarten nach Beendigung des Ersten Weltkriegs wurde am oberen Froschweiher das städtische Freibad eingerichtet, dessen Vorläufer sich in der Nähe der Wileneggstrasse in Weingarten befanden.",Nach der Auflösung der Garnison Weingarten nach Beendigung des Ersten Weltkriegs wurde am oberen Froschweiher das Freibad eingerichtet.
"In den Wäldern um Nessenreben findet man häufig Buchen, Eichen und Fichten","In den Wäldern um Nessenreben gibt es häufig Buchen, Eichen und Fichten."
"In den Wäldern leben Rehe, Wildschweine und Füchse, während die Wiesen und Felder Lebensraum für Vogelarten wie Rotkehlchen, Meisen und Bussarde bieten","In den Wäldern leben Rehe, Wildschweine und Füchse. Die Wiesen und Felder sind Lebensraum für Vogelarten wie Rotkehlchen, Meisen und Bussarde."
"Die Schweiz ist auch Mitgründer des Internationalen Rhönradturn-Verbandes (IRV), welcher 1995 gegründet wurde und seinen Sitz in Bern hat.",Die Schweiz ist auch Mitgründer vom Internationalen Rhönradturn-Verbandes (irV). Der Verein wurde im Jahr 1995 gegründet.
Zusätzlich zu den drei Disziplinen wird im Level Elite der Mehrkampf angeboten.,In den 3 Disziplinen gibt es mehrkampfe.
An den vier Qualifikationswettkämpfen können sich die besten Turner und Turnerinnen für die Schweizer Meisterschaft im März / April qualifizieren.,An den vier Qualifikationswettkämpfen können sich die besten Turner und Turnerinnen für die Schweizer Meisterschaft im März / April qualifizieren.
"An der Schweizer Meisterschaft wird jeweils auch bekannt gegeben, wer die Schweiz an den Weltmeisterschaften vertreten darf.","An der Schweizer Meisterschaft wird bekannt gegeben, wer die Schweiz bei den Weltmeisterschaften spielen darf."
Die Premiere der deutschen Produktion mit Vishka Asayesh in der Hauptrolle als iranische Menschenrechtsaktivistin auf Freigang ist im September 2024 beim Toronto International Film Festival geplant.,Im September 2024 findet in Deutschland die Premiere der deutschen Produktion mit Vishka Asayesh statt. Asayesh ist eine iranische Menschenrechts-Aktivistin.
"Als der inhaftierten iranischen Menschenrechtsaktivistin Maryam aus medizinischen Gründen ein siebentägiger Ausgang gewährt wird, hat sie die Chance, gemeinsam mit ihrer Familie aus dem Iran zu fliehen.","Die iranischen Menschenrechts-Aktivistin Maryam musste wegen dem Corona-Virus in den Iran fliehen. Nun hat sie die Chance, gemeinsam mit ihrer Familie aus dem Iran zu fliehen."
"Der ebenfalls in Teheran geborenene Majid Bakhtiari, zuletzt in Filmen wie Morgen sind wir frei von Hossein Pourseifi und Rheingold von Fatih Akin zu sehen, spielt Behnam.","Der ebenfalls in Teheran geborenene Majid Bakhtiari, zuletzt in Filmen wie Morgen sind wir frei von Hossein Fürseifi und Rheingold zu sehen."
Die Gumer kamen durch zwei Handelsunternehmen zu Reichtum und Wohlstand und zählten über Jahrhunderte zu den wirtschaftlich und politisch einflussreichsten Familien der Stadt.,Die Gumer kamen durch zwei Handelsunternehmen zu Reichtum und Wohlstand. Sie zählten über Jahrhunderte zu den wirtschaftlich und politisch einflussreichsten Familien der Stadt.
Durch Einheirat waren die Gumer mit anderen altansässigen Bozner Kaufmannsfamilien versippt und verschwägert.,Durch den Einheirat waren die Gumer mit anderen Familien von den Kaufmannsfamilien verschwägert.
In Folge des Firmenkonkurses von 1799 und 1817 büßten die Gumer zum größten Teil ihr Vermögen und Liegenschaften ein.,In Folge des Firmen-Konkurses von 1799 und 1817 büßten die Gumer zum größten Teil ihr Vermögen und Liegenschaften ein.
"Nach dem Bankrott des Handelshauses von Franz von Gumer 1799 und der Zahlungsunfähigkeit von Joseph und Philipp von Gumer 1817 verlor die Familie größtenteils ihr Vermögen und Güter, darunter auch den Landsitz der Gumer, das später sogenannte Toggenburghaus im Weiler Maria Himmelfahrt am Ritten, welches 1818 der Gumer’schen Nichte Annette von Menz aus der Konkursmasse zufiel.",Nach dem Bankrott des Handelshauses von Franz von Gumer 1799 und der Zahlungsunfähigkeit von Philipp und Philipp von Gumer 1817 verlor die Familie ihr Vermögen und Güter.
Nach der österreichischen Rückeroberung Tirols zog er sich 1814 nach Italien zurück und starb in Trient als Gubernialrat.,Nach der Rückeroberung Tirols zog sich 1814 nach Italien zurück. Er starb in Trient als Gubernialrat.
"Am 9. August 2024 stürzte das Flugzeug, eine ATR 72-500, etwa 90 Minuten nach seinem Start in Vinhedo nordwestlich von São Paulo ab.",Am 9. August 2024 stürzte das Flugzeug ab.
Im März 2024 wurde das Flugzeug durch einen Tailstrike beschädigt und kam nach Reparaturarbeiten erst am 9. Juli wieder zum regulären Einsatz.,Im März 2024 wurde das Flugzeug beschädigt und kam nach Reparatur-Arbeiten am 9. Juli wieder zum normalen Einsatz.
Das Flugzeug war laut VoePass „ohne betriebliche Einschränkungen gestartet und alle Systeme waren für den Flug bereit“.,Das Flugzeug war ohne betriebliche Einschränkungen gestartet. Alle Systeme waren bereit für den Flug.
"Die im Februar 2011 in den Systems Two Studios, Brooklyn, entstandenen Aufnahmen erschienen 2011 auf dem Label Grizzley Music.","Die entstandenen Aufnahmen erschienen im Februar 2011 in den Systems Two Studios, Brooklyn. Grizzley Music ist eine Firma aus den USA."
"Das Album entstand als Tribut an den 2011 verstorbenen Schlagzeuger, Bandleader und Komponisten Paul Motian.","Das Album entstand als Tribut an den 2011 verstorbenen Schlagzeuger, Bandleader und Komponisten Paul Motian."
"Dieses Projekt wurde bereits vor Motians Tod konzipiert und brauchte mehrere Jahre, um Gestalt anzunehmen.","Sie brauchte mehrere Jahre, um Gestalt anzunehmen."
"Einheits-Schnellzugwagen Bauart 28 sind eine Serie von Schnellzugwagen, die von der Deutschen Reichsbahn-Gesellschaft ab 1928 in mehreren Serien nach einheitlichen Zeichnungen (Austauschbauart) beschafft wurden.",Ein Schnellzugwagen wurde von der Deutschen Reichsbahn-Gesellschaft ab 1928 gebaut.
"Von der Vorläuferbauart wurde auch die Länge über Puffer von 21,72 Metern übernommen, was gegenüber den Anfang der zwanziger Jahre beschafften Fahrzeugen die Vergrößerung der Abteile ermöglichte, teilweise wurde aber auch die Abteilanzahl leicht erhöht.",Von der Vorläuferbauart wurde auch die Länge über Puffer übernommen.
"Die für den Fährverkehr nach Schweden und Dänemark vorgesehenen Wagen erhielten Drehgestelle amerikanischer Bauart, Trossenösen an den Langträgern und Scheuerleisten mit Ösen auf dem Dach.","Die für den Fährverkehr nach Schweden und Dänemark vorgesehenen Wagen bekamen Drehgestelle amerikanischer Bauart, Trossenösen an den Langträgern und Scheuerleisten mit Ösen auf dem Dach."
Die Gepäckwagen der Bauarten Pw4ü-28 und Pw4ü-29 unterschieden sich grundsätzlich nur durch die verbesserte Beleuchtung der neueren Wagen.,Die Bauarten Pw4ü-28 und Pw4ü-29 unterschieden sich grundsätzlich nur durch die Beleuchtung der neuen Wagen.
"Internationale Aufmerksamkeit erhielt die Gasse, als im August 2024 die drei Wiener Konzerte der US-amerikanischen Musikerin Taylor Swift im Rahmen ihrer The Eras Tour aufgrund eines geplanten terroristischen Anschlags abgesagt wurden.",Im August 2024 wurden in Wien 3 Konzerte von Taylor Swift abgesagt. Swift ist eine US-amerikanische Musikerin.
"Alle Gebäude der Corneliusgasse (bis auf Haus Nr. 6) befindet sich in einer baulichen Schutzzone, die von der Stadt Wien definiert wurde. ",Alle Gebäude der Corneliusgasse (bis auf Haus Nr. 6) sind in einer baulichen Schutzzone.
"Viele Fans suchten nach der Absage, etwa um Trost zu finden, die Corneliusgasse auf, da Taylor Swift in ihrem 2019 veröffentlichten Album „Lover“ einen Song mit dem Titel „Cornelia Street“ veröffentlichte.","Viele Fans suchten nach der Absage, etwa um Trost zu finden, die Corneliusgasse auf, da Taylor Swift in ihrem 2019 veröffentlichten Album Lover einen Song mit dem Titel Cornelia Street veröffentlichte."
"Die Unruhen im Vereinigten Königreich 2024 sind eine Serie gewalttätiger Ausschreitungen im Vereinigten Königreich, die nach der Messerattacke in Southport begannen und sich innerhalb von Tagen auf Städte in England und Nordirland ausweiteten.",Die Unruhen im Vereinigten Königreich 2024 sind eine Serie gewalttätiger Ausschreitungen im Vereinigten Königreich.
"Ebenso beteiligte er sich an der Verbreitung von Inhalten, die zu einer Spaltung der britischen Gesellschaft beitragen könnten.","Außerdem beteiligte er sich an der Verbreitung von Inhalten, die zu einer Spaltung der britischen Gesellschaft beitragen könnten."
"Am 31. Juli 2024 kam es bei einer Demonstration unter dem Motto „Enough is enough“ („Genug ist genug“) nahe der Londoner Downing Street, dem Amtssitz des Premierministers, zu gewaltsamen Ausschreitungen zwischen Rechtsradikalen und der Polizei, bei denen über 100 Demonstranten vorübergehend festgenommen wurden.",Am 31. Juli 2024 kam es bei einer Demonstration unter dem Motto Enough is genug (Genug ist genug) zu gewaltsamen Ausschreitungen zwischen Rechtsradikalen und der Polizei. Dabei wurden über 100 Demonstranten vorübergehend festgenommen.
Alleine am 3. August 2024 wurden landesweit 147 Personen wegen der Beteiligung an Ausschreitungen festgenommen.,Alleine am 3. August 2024 wurden landesweit 147 Personen verhaftet.
Diese Stadt hatte durch den Niedergang des Kohlenabbaus und der Schiffbauindustrie zwischen 1975 und 1989 ein Viertel ihrer Arbeitsplätze verloren.,Diese Stadt hatte durch den Niedergang des Kohlenabbaus und der Schiffbau-Industrie ein Viertel ihrer Arbeitsplätze verloren.
"Am Tag nach den gewalttätigen Ausbrüchen versammelten sich Einwohner, um die Spuren zu beseitigen; wieder einen Tag später fand ein kleiner Friedensmarsch statt.","Am Tag nach den Ausbrüchen versammelten sich Einwohner, um die Spuren zu beseitigen."
"Der Tag wurde als Wendepunkt in der Entwicklung der Unruhen angesehen, jedoch noch nicht als das Ende dieser Vorkommnisse, zumal der relativ friedliche Verlauf dieses Tages möglicherweise hauptsächlich der Abschreckung durch die hohe Polizeipräsenz und durch die ersten Gefängnisstrafen, die für Gewalttäter verhängt worden waren, zu verdanken war.",Der Tag wurde als Wendepunkt in der Entwicklung der Unruhen angesehen.
"Auch in Bristol, das einige Tage zuvor Schauplatz gewalttätiger Aktionen gewesen war, fand am 7. August 2024 eine Gegendemonstration statt.",Am 7. August 2024 war Schauplatz gewalttätiger Aktionen gewesen.
"Als Reaktion auf die anhaltenden Unruhen veröffentlichten am 5. August mehrere Länder, darunter Australien, Nigeria und Indonesien, Reisewarnungen für das Vereinigte Königreich.",Am 5. August wurden Reisewarnungen für das Vereinigte Königreich veröffentlicht.
