complex_sentence,original_simple_sentence,simplified_sentence
"Supplementation with vitamin D during pregnancy may reduce the risk of severe postpartum haemorrhage; however, only one study reported this outcome (RR 0.68, 95% CI 0.51 to 0.91; 1 study, 1134 women; low‐certainty evidence) and may reduce the risk of low birthweight; however, the upper CI suggests that an increase in risk cannot be ruled out (RR 0.69, 95% CI 0.44 to 1.08; 3 studies, 371 infants; low‐certainty evidence). ","It may prevent severe excessive bleeding at birth (although this was based on a single study) and it may reduce the risk of having a baby with a low birthweight, but an increase in this risk cannot be ruled out at this stage.","Taking vitamin D during pregnancy might lower the risk of severe bleeding after birth, based on one study with 1134 women. It might also reduce the risk of low birthweight in babies, but it is not certain because the data is unclear."
"The evidence is very uncertain about the effect of supplementation with vitamin D and calcium on preterm birth (RR not estimable; very low‐certainty evidence) or for low birthweight (RR 1.45, 95% CI 0.14 to 14.94; very low‐certainty evidence) compared to women who received placebo or no intervention. ","Also, we are not sure if supplementation with vitamin D and calcium versus placebo or no intervention (one study, 84 women) prevents babies being born earlier than expected and low birthweight. ",The evidence is unclear if taking vitamin D and calcium affects preterm birth or low birthweight compared to taking a placebo or doing nothing.
Feeding via a tube misplaced in the trachea can result in severe pneumonia.,"If the gastric tube is misplaced and food or medicines passed into the trachea, it can result in a severe infection in the lungs (called pneumonia) or other complications. ","Feeding through a tube in the wrong place in the trachea can cause serious pneumonia."
The objective was to assess the diagnostic accuracy of ultrasound alone or in combination with other methods for gastric tube placement confirmation in children and adults. ,We wanted to determine the accuracy of ultrasound in confirming gastric tube placement and assess its potential to replace X‐rays as the standard method. ,The goal was to check how well ultrasound alone or with other methods could confirm the placement of a gastric tube in children and adults.
"Based on limited evidence, ultrasound does not have sufficient accuracy as a single test to confirm gastric tube placement.",Ultrasound alone was not sufficient for confirming proper placement for feeding tubes.,"Ultrasound alone is not accurate enough to confirm the placement of a gastric tube."
"Our 2009 Cochrane review found that calcium channel blockers (CCBs) improved graft function and prevented graft loss, while the evidence for other BP‐lowering treatments was limited. ","Angiotensin receptor blockers prevent the loss of the transplanted kidney and lower blood pressure, but we are not sure whether any other blood pressure treatments are beneficial or safe.","Our 2009 Cochrane review found that calcium channel blockers (CCBs) improved graft function and prevented graft loss, while the evidence for other blood pressure-lowering treatments was limited."
Randomised controlled trials (RCTs) and quasi‐RCTs evaluating any BP‐lowering agent in recipients of a functioning kidney transplant for at least two weeks were eligible,We searched for all trials that assess the benefits and harms of blood pressure‐lowering drugs to treat people with a kidney transplant.,Randomized controlled trials (RCTs) and quasi-RCTs testing any blood pressure-lowering drug in kidney transplant patients for at least two weeks were eligible.
"Compared to placebo or standard care alone, CCBs probably reduce all‐cause death and graft loss.","A specific type of blood pressure treatment, called calcium channel blockers, prevented death and loss of the transplanted kidney.","Compared to placebo or standard care, CCBs probably lower the chances of death and graft loss."
"The effects of CCBs, ACEi or ARB compared to placebo or standard care alone on cardiovascular outcomes (including fatal or nonfatal myocardial infarction, fatal or nonfatal stroke) or other adverse events were uncertain. ","Other blood pressure treatments, including angiotensin‐converting‐enzyme inhibitors and angiotensin receptor blockers, had uncertain effects on patient health. ","The effects of CCBs, ACEi, or ARB compared to placebo or standard care on heart problems (such as heart attacks and strokes) or other side effects were unclear."
"For kidney transplant recipients, the use of CCB therapy to reduce BP probably reduces death and graft loss compared to placebo or standard care alone, while ARB may reduce graft loss",We are confident that calcium channel blockers and angiotensin receptor blockers prevent the loss of the transplanted kidney and that calcium channel blockers prevent death due to any cause. ,"For kidney transplant recipients, using CCB therapy to lower blood pressure likely lowers the chance of death and graft loss more than a placebo or standard care alone, while ARB may reduce graft loss."
Cell transplantation offers a potential therapeutic approach to the repair and regeneration of damaged vascular and cardiac tissue after acute myocardial infarction (AMI). ,Bone marrow‐derived cells have been investigated as an additional treatment for heart attacks based on their ability to repair damaged heart muscle,"Cell transplantation might help fix and regrow damaged heart and blood vessels after a heart attack."
"Normal pressure hydrocephalus (NPH) occurs when the brain ventricles expand, causing a triad of gait, cognitive, and urinary impairment.","Normal pressure hydrocephalus (NPH) is a medical condition where normal fluid‐filled brain structures (ventricles) slowly become larger over time (hydrocephalus), and the surrounding brain structures slowly change to adjust to this. Eventually, the critical brain structures become affected, causing symptoms such as difficulty walking, thinking, and with bladder control. ","Normal pressure hydrocephalus (NPH) happens when the brain ventricles grow larger. This causes problems with walking, thinking, and urinating."
"It can occur after a clear brain injury such as trauma, but can also occur without a clear cause (termed idiopathic, or iNPH). ","Sometimes there is a clear reason for the ventricles getting larger, for example after a head injury, where blood can 'clog‐up' the ventricles. However, in older adults (over 60 years), NPH develops with no clear cause, known as 'idiopathic' normal pressure hydrocephalus (iNPH). ","It can happen after a clear brain injury like trauma or without a clear cause, called idiopathic or iNPH."
"Non‐randomised studies have shown a benefit from surgically diverting ventricular fluid to an area of lower pressure by cerebrospinal fluid (CSF)‐shunting in iNPH, but historically there have been limited randomised controlled trial (RCT) data to confirm this. ","There have been reports of patients with iNPH getting better when an operation is performed where a tube is inserted into the brain or spinal canal to move the cerebrospinal fluid (CSF) to an area of lower pressure such as the abdominal cavity or right atrium of the heart (CSF‐shunting). However, most of the evidence to support the use of CSF‐shunting has been of low quality, and people having CSF‐shunting were not directly compared with control groups who did not have CSF‐shunting","Non-randomized studies have shown that CSF-shunting surgery benefits iNPH, but there have been few randomized controlled trials to confirm this."
CSF‐shunting probably improves gait speed at less than six months post‐surgery .,Walking speed probably improves with CSF‐shunting compared with control. ,CSF-shunting probably makes walking faster within six months after surgery.
CSF‐shunting may improve qualitative gait function at less than six months post‐surgery by an uncertain amount ,CSF‐shunting may improve walking function by an uncertain amount. ,"CSF-shunting may improve walking quality within six months after surgery, but the improvement amount is unsure."
The evidence is very uncertain about the effect of CSF‐shunting on cognitive function at less than six months post‐CSF‐shunt surgery.,It is unclear if CSF‐shunt surgery has an effect on cognitive function or unwanted effects. ,"The evidence is unclear about how CSF-shunting affects cognitive function within six months after the surgery."
Eczema (atopic dermatitis) is the most burdensome skin condition worldwide and cannot currently be prevented or cured. ,Eczema (atopic dermatitis) is a common inflammatory skin condition with no cure.,"Eczema (atopic dermatitis) is the most serious skin condition in the world. Right now, it cannot be prevented or cured."
The objective was to compare and rank the efficacy and safety of topical anti‐inflammatory treatments for people with eczema using a network meta‐analysis. ,We wanted to find the most effective and also the safest topical anti‐inflammatory treatments for people with eczema. ,The goal was to compare and rank how well and how safely different topical anti-inflammatory treatments work for people with eczema using a network meta-analysis.
"We included 291 studies involving 45,846 participants with the full spectrum of eczema severity, mainly conducted in high‐income countries in secondary care settings.","We analysed 291 studies involving 45,846 people with eczema of different severities and most of the studies took place in wealthier countries and focused on adults.","We included 291 studies with 45,846 participants who had different levels of eczema severity. Most of the studies were done in high-income countries in secondary care settings."
"Treatment duration and trial participation were a median of 21 and 28 days (ranging from 7 days to 5 years), respectively.",The studies lasted between seven days and five years.,"The treatment lasted a median of 21 days, and the trial participation lasted a median of 28 days. Both ranged from 7 days to 5 years."
"NMA of 25 trials reporting skin thinning found no evidence for increased skin thinning with short‐term (median 3 weeks, range 1‐16 weeks) use of mild TCS, moderate TCS, potent TCS, or very potent TCS , all with low confidence.","There was no evidence of increased skin thinning with short‐term (16 weeks or fewer) use of any treatment, including once or twice daily potent corticosteroids.","A study of 25 trials found no evidence of increased skin thinning with short-term use (average 3 weeks) of mild, moderate, potent, or very potent TCS. Confidence in these results was low."
The prevalence of tobacco use among people living with HIV (PLWH) is up to four times higher than in the general population.,Smoking rates are about four times higher in people living with HIV than in the general population.,People living with HIV (PLWH) use tobacco up to four times more than the general population.
"The objective was to assess the benefits, harms and tolerability of interventions for tobacco use cessation among people living with HIV. ","We wanted to find the best methods to help people living with HIV stop using tobacco, and see whether there were unwanted effects. ","The goal was to check the benefits, harms, and comfort of treatments to help people with HIV stop using tobacco."
"We included randomised controlled trials (RCTs) of individual‐/group‐level behavioural or pharmacological interventions, or both, for tobacco use cessation, delivered directly to PLWH aged 18 years and over, who use tobacco.",We searched for studies that investigated quit methods aimed directly at adults with diagnosed HIV.,"We included randomized trials of behavioral or drug treatments, or both, to help people aged 18 and over with HIV quit smoking tobacco."
"We also included RCTs, quasi‐RCTs, other non‐randomised controlled studies (e.g. controlled before and after studies), and interrupted time series studies of system‐change interventions for tobacco use cessation among PLWH. ","Also, studies on system change, aimed at people living with HIV who were receiving care, or healthcare staff working in these facilities.","We also included RCTs, quasi‐RCTs, other non‐randomized controlled studies (like controlled before and after studies), and interrupted time series studies about system-change interventions to help PLWH stop using tobacco."
Low‐certainty evidence did not demonstrate a clear benefit for tobacco use cessation rates in PLWH randomised to receive behavioural support compared with brief advice or no intervention.,There was no clear evidence that behavioural support was more effective for quitting tobacco than brief advice or no support.,Low‐certainty evidence did not show that behavioral support helped PLWH quit smoking compared to brief advice or no help.
Moderate‐certainty evidence suggested that varenicline may help more PLWH to quit smoking than placebo with no evidence of heterogeneity.,Varenicline likely helps people living with HIV to quit smoking compared to placebo.,"Moderate-certainty evidence suggested that varenicline may help more people living with HIV to quit smoking than a placebo, with no differences between groups."
Low‐certainty evidence did not detect a difference between varenicline and placebo in the proportion of participants experiencing SAEs.,There are probably no more serious unwanted effects with varenicline than placebo.,Low-certainty evidence found no difference between varenicline and placebo in the number of participants with serious side effects (SAEs).
No studies assessed SAEs for the following: behavioural support plus NRT versus brief advice; varenicline versus NRT and cytisine versus NRT. ,"No studies assessed serious unwanted effects for behavioural support plus NRT compared with brief advice, varenicline compared with NRT, and cytisine compared with NRT. ",No studies checked serious side effects for these comparisons: behavioral support plus NRT versus brief advice; varenicline versus NRT; and cytisine versus NRT.
Repetitive transcranial magnetic stimulation (rTMS) is a non‐invasive therapy involving induction of electrical currents in cortical brain tissue.,rTMS is a non‐invasive treatment that involves inducing an electrical field in brain tissue by placing a coil against the scalp that releases magnetic pulses. ,"Repetitive transcranial magnetic stimulation (rTMS) is a non-invasive therapy that uses electrical currents in the brain."
Current pharmacological and psychotherapeutic treatments for PTSD are associated with inadequate symptom improvement and high dropout rates. ,"Existing treatments are associated with high dropout rates, which suggests people may have problems with tolerating treatment and may continue to experience symptoms. ",Current drug and therapy treatments for PTSD do not improve symptoms enough and have many dropouts.
The evidence is very uncertain about the effect of active rTMS on serious adverse events.,It is unclear whether rTMS is associated with increased chances of experiencing a serious unwanted effect.,The evidence about the effect of active rTMS on severe side effects is very unsure.
