complex_sentence,simplified_sentence
"Es gilt als erstes und ältestes Naturkundemuseum der Welt und ist erstmals 1554 dokumentiert, als Aldrovandi das von ihm als Naturae Theatrum beschriebene Museum besuchte.","Es ist das älteste Naturkundemuseum der Welt und wurde erstmals 1554 erwähnt, als Aldrovandi es besuchte und als Naturae Theatrum beschrieb."
Diese kostete nur 20 Pfennig (ab 1871) und war damit die billigste und auflagenstärkste deutsche Buchreihe.,Die Buchreihe kostete ab 1871 nur 20 Pfennig und war damit die günstigste und meistverkaufte in Deutschland.
"Im Mittelalter lag südöstlich des heutigen Hofguts eine Burg, von der heute nur noch der Burgstall erhalten ist.",Im Mittelalter gab es südöstlich des heutigen Hofguts eine Burg. Heute ist nur noch der Burghügel übrig.
"Nach der Auflösung der Garnison Weingarten nach Beendigung des Ersten Weltkriegs wurde am oberen Froschweiher das städtische Freibad eingerichtet, dessen Vorläufer sich in der Nähe der Wileneggstrasse in Weingarten befanden.",Nach dem Ende des Ersten Weltkriegs wurde beim oberen Froschweiher ein städtisches Freibad gebaut. Das erste Freibad davor war in der Nähe der Wileneggstrasse in Weingarten.
"In den Wäldern um Nessenreben findet man häufig Buchen, Eichen und Fichten","In den Wäldern um Nessenreben wachsen oft Buchen, Eichen und Fichten."
"In den Wäldern leben Rehe, Wildschweine und Füchse, während die Wiesen und Felder Lebensraum für Vogelarten wie Rotkehlchen, Meisen und Bussarde bieten","In den Wäldern leben Rehe, Wildschweine und Füchse, und die Wiesen und Felder sind Heimat für Vögel wie Rotkehlchen, Meisen und Bussarde."
"Die Schweiz ist auch Mitgründer des Internationalen Rhönradturn-Verbandes (IRV), welcher 1995 gegründet wurde und seinen Sitz in Bern hat.","Die Schweiz ist Mitgründer des Internationalen Rhönradturn-Verbandes (IRV), der 1995 in Bern gegründet wurde."
Zusätzlich zu den drei Disziplinen wird im Level Elite der Mehrkampf angeboten.,Zusätzlich zu den drei Disziplinen gibt es für die Elite den Mehrkampf.
An den vier Qualifikationswettkämpfen können sich die besten Turner und Turnerinnen für die Schweizer Meisterschaft im März / April qualifizieren.,Die besten Turner und Turnerinnen können sich in den vier Qualifikationswettkämpfen für die Schweizer Meisterschaft im März oder April qualifizieren.
"An der Schweizer Meisterschaft wird jeweils auch bekannt gegeben, wer die Schweiz an den Weltmeisterschaften vertreten darf.","Bei der Schweizer Meisterschaft wird bekannt gegeben, wer die Schweiz bei den Weltmeisterschaften vertreten darf."
Die Premiere der deutschen Produktion mit Vishka Asayesh in der Hauptrolle als iranische Menschenrechtsaktivistin auf Freigang ist im September 2024 beim Toronto International Film Festival geplant.,Die deutsche Produktion mit Vishka Asayesh als iranische Menschenrechtsaktivistin wird im September 2024 beim Toronto International Film Festival gezeigt.
"Als der inhaftierten iranischen Menschenrechtsaktivistin Maryam aus medizinischen Gründen ein siebentägiger Ausgang gewährt wird, hat sie die Chance, gemeinsam mit ihrer Familie aus dem Iran zu fliehen.","Maryam, eine iranische Menschenrechtsaktivistin, bekommt aus medizinischen Gründen für sieben Tage Hafturlaub. Sie nutzt diese Chance, um mit ihrer Familie aus dem Iran zu fliehen."
"Der ebenfalls in Teheran geborenene Majid Bakhtiari, zuletzt in Filmen wie Morgen sind wir frei von Hossein Pourseifi und Rheingold von Fatih Akin zu sehen, spielt Behnam.","Majid Bakhtiari, der in Teheran geboren wurde, spielt Behnam. Er war in den Filmen ""Morgen sind wir frei"" und ""Rheingold"" zu sehen."
Die Gumer kamen durch zwei Handelsunternehmen zu Reichtum und Wohlstand und zählten über Jahrhunderte zu den wirtschaftlich und politisch einflussreichsten Familien der Stadt.,Die Gumer wurden durch zwei Handelsunternehmen reich und zählten für viele Jahre zu den wichtigsten Familien der Stadt.
Durch Einheirat waren die Gumer mit anderen altansässigen Bozner Kaufmannsfamilien versippt und verschwägert.,Durch Heirat waren die Gumer mit anderen alten Bozner Kaufmannsfamilien verwandt.
In Folge des Firmenkonkurses von 1799 und 1817 büßten die Gumer zum größten Teil ihr Vermögen und Liegenschaften ein.,Durch die Firmenpleiten in den Jahren 1799 und 1817 verloren die Gumer den Großteil ihres Vermögens und ihrer Grundstücke.
"Nach dem Bankrott des Handelshauses von Franz von Gumer 1799 und der Zahlungsunfähigkeit von Joseph und Philipp von Gumer 1817 verlor die Familie größtenteils ihr Vermögen und Güter, darunter auch den Landsitz der Gumer, das später sogenannte Toggenburghaus im Weiler Maria Himmelfahrt am Ritten, welches 1818 der Gumer’schen Nichte Annette von Menz aus der Konkursmasse zufiel.","Nach dem Bankrott des Handelshauses von Franz von Gumer 1799 und der Zahlungsunfähigkeit von Joseph und Philipp von Gumer 1817 verlor die Familie ihr Vermögen. Sie verloren auch den Landsitz, das Toggenburghaus, das 1818 an ihre Nichte Annette von Menz ging."
Nach der österreichischen Rückeroberung Tirols zog er sich 1814 nach Italien zurück und starb in Trient als Gubernialrat.,"Nachdem Österreich Tirol zurückerobert hatte, ging er 1814 nach Italien und starb als Regierungsrat in Trient."
"Am 9. August 2024 stürzte das Flugzeug, eine ATR 72-500, etwa 90 Minuten nach seinem Start in Vinhedo nordwestlich von São Paulo ab.","Am 9. August 2024 stürzte das Flugzeug ATR 72-500 etwa 90 Minuten nach dem Start in Vinhedo ab, nordwestlich von São Paulo."
Im März 2024 wurde das Flugzeug durch einen Tailstrike beschädigt und kam nach Reparaturarbeiten erst am 9. Juli wieder zum regulären Einsatz.,Im März 2024 wurde das Flugzeug durch einen Unfall beschädigt. Nach Reparaturarbeiten konnte es erst wieder am 9. Juli fliegen.
Das Flugzeug war laut VoePass „ohne betriebliche Einschränkungen gestartet und alle Systeme waren für den Flug bereit“.,Das Flugzeug ist ohne Probleme gestartet und alle Systeme funktionierten.
"Die im Februar 2011 in den Systems Two Studios, Brooklyn, entstandenen Aufnahmen erschienen 2011 auf dem Label Grizzley Music.","Die Aufnahmen, die im Februar 2011 in den Systems Two Studios in Brooklyn gemacht wurden, erschienen 2011 bei Grizzley Music."
"Das Album entstand als Tribut an den 2011 verstorbenen Schlagzeuger, Bandleader und Komponisten Paul Motian.","Das Album ist ein Tribut an den 2011 verstorbenen Paul Motian, der Schlagzeuger, Bandleader und Komponist war."
"Dieses Projekt wurde bereits vor Motians Tod konzipiert und brauchte mehrere Jahre, um Gestalt anzunehmen.","Dieses Projekt wurde schon vor Motians Tod geplant und dauerte mehrere Jahre, um fertig zu werden."
"Einheits-Schnellzugwagen Bauart 28 sind eine Serie von Schnellzugwagen, die von der Deutschen Reichsbahn-Gesellschaft ab 1928 in mehreren Serien nach einheitlichen Zeichnungen (Austauschbauart) beschafft wurden.","Einheits-Schnellzugwagen Bauart 28 sind Schnellzugwagen, die die Deutsche Reichsbahn-Gesellschaft ab 1928 nach einheitlichen Zeichnungen baute."
"Von der Vorläuferbauart wurde auch die Länge über Puffer von 21,72 Metern übernommen, was gegenüber den Anfang der zwanziger Jahre beschafften Fahrzeugen die Vergrößerung der Abteile ermöglichte, teilweise wurde aber auch die Abteilanzahl leicht erhöht.","Die Länge über Puffer von 21,72 Metern wurde von der Vorläuferbauart übernommen, was größere Abteile ermöglichte. Manchmal wurde auch die Anzahl der Abteile leicht erhöht."
"Die für den Fährverkehr nach Schweden und Dänemark vorgesehenen Wagen erhielten Drehgestelle amerikanischer Bauart, Trossenösen an den Langträgern und Scheuerleisten mit Ösen auf dem Dach.","Die Wagen für den Fährverkehr nach Schweden und Dänemark bekamen Drehgestelle amerikanischer Art, Seilösen an den Seiten und Scheuerleisten mit Ösen auf dem Dach."
Die Gepäckwagen der Bauarten Pw4ü-28 und Pw4ü-29 unterschieden sich grundsätzlich nur durch die verbesserte Beleuchtung der neueren Wagen.,Die Gepäckwagen der Bauarten Pw4ü-28 und Pw4ü-29 unterschieden sich nur durch die bessere Beleuchtung der Pw4ü-29.
"Internationale Aufmerksamkeit erhielt die Gasse, als im August 2024 die drei Wiener Konzerte der US-amerikanischen Musikerin Taylor Swift im Rahmen ihrer The Eras Tour aufgrund eines geplanten terroristischen Anschlags abgesagt wurden.","Die Gasse wurde international bekannt, als im August 2024 die drei Wiener Konzerte der US-amerikanischen Musikerin Taylor Swift wegen eines geplanten terroristischen Anschlags abgesagt wurden."
"Alle Gebäude der Corneliusgasse (bis auf Haus Nr. 6) befindet sich in einer baulichen Schutzzone, die von der Stadt Wien definiert wurde. ",Alle Gebäude der Corneliusgasse außer Haus Nr. 6 liegen in einer von der Stadt Wien festgelegten Schutzzone.
"Viele Fans suchten nach der Absage, etwa um Trost zu finden, die Corneliusgasse auf, da Taylor Swift in ihrem 2019 veröffentlichten Album „Lover“ einen Song mit dem Titel „Cornelia Street“ veröffentlichte.","Viele Fans gingen nach der Absage zur Corneliusgasse, um Trost zu finden, da Taylor Swift 2019 ein Lied namens ""Cornelia Street"" veröffentlichte."
"Die Unruhen im Vereinigten Königreich 2024 sind eine Serie gewalttätiger Ausschreitungen im Vereinigten Königreich, die nach der Messerattacke in Southport begannen und sich innerhalb von Tagen auf Städte in England und Nordirland ausweiteten.",Die Unruhen im Vereinigten Königreich 2024 sind eine Reihe von gewalttätigen Ausschreitungen. Sie begannen nach einem Messerangriff in Southport und breiteten sich innerhalb weniger Tage auf Städte in England und Nordirland aus.
"Ebenso beteiligte er sich an der Verbreitung von Inhalten, die zu einer Spaltung der britischen Gesellschaft beitragen könnten.","Er hat auch Inhalte verbreitet, die die britische Gesellschaft spalten könnten."
"Am 31. Juli 2024 kam es bei einer Demonstration unter dem Motto „Enough is enough“ („Genug ist genug“) nahe der Londoner Downing Street, dem Amtssitz des Premierministers, zu gewaltsamen Ausschreitungen zwischen Rechtsradikalen und der Polizei, bei denen über 100 Demonstranten vorübergehend festgenommen wurden.",Am 31. Juli 2024 kam es bei einer „Genug ist genug“-Demonstration nahe der Downing Street in London zu Gewalt zwischen Rechtsradikalen und der Polizei. Über 100 Demonstranten wurden vorübergehend festgenommen.
Alleine am 3. August 2024 wurden landesweit 147 Personen wegen der Beteiligung an Ausschreitungen festgenommen.,Am 3. August 2024 wurden in ganz Deutschland 147 Personen wegen Ausschreitungen festgenommen.
Diese Stadt hatte durch den Niedergang des Kohlenabbaus und der Schiffbauindustrie zwischen 1975 und 1989 ein Viertel ihrer Arbeitsplätze verloren.,"Diese Stadt verlor zwischen 1975 und 1989 ein Viertel ihrer Arbeitsplätze, weil der Kohlenabbau und die Schiffbauindustrie zurückgingen."
"Am Tag nach den gewalttätigen Ausbrüchen versammelten sich Einwohner, um die Spuren zu beseitigen; wieder einen Tag später fand ein kleiner Friedensmarsch statt.",Am Tag nach den gewalttätigen Vorfällen räumten die Einwohner auf. Einen Tag später gab es einen kleinen Friedensmarsch.
"Der Tag wurde als Wendepunkt in der Entwicklung der Unruhen angesehen, jedoch noch nicht als das Ende dieser Vorkommnisse, zumal der relativ friedliche Verlauf dieses Tages möglicherweise hauptsächlich der Abschreckung durch die hohe Polizeipräsenz und durch die ersten Gefängnisstrafen, die für Gewalttäter verhängt worden waren, zu verdanken war.","Der Tag wurde als Wendepunkt der Unruhen betrachtet, aber noch nicht als ihr Ende. Der friedliche Verlauf des Tages lag wahrscheinlich an der starken Polizeipräsenz und den ersten Gefängnisstrafen für Gewalttäter."
"Auch in Bristol, das einige Tage zuvor Schauplatz gewalttätiger Aktionen gewesen war, fand am 7. August 2024 eine Gegendemonstration statt.",Am 7. August 2024 gab es in Bristol eine Gegendemonstration. Einige Tage zuvor hatten dort gewalttätige Aktionen stattgefunden.
"Als Reaktion auf die anhaltenden Unruhen veröffentlichten am 5. August mehrere Länder, darunter Australien, Nigeria und Indonesien, Reisewarnungen für das Vereinigte Königreich.","Am 5. August gaben mehrere Länder, darunter Australien, Nigeria und Indonesien, wegen der Unruhen Reisewarnungen für das Vereinigte Königreich heraus."
