complex_sentence,simplified_sentence
"And he contended that a President has absolute immunity from crimi nal prosecution for actions performed within the outer pe rimeter of his official responsibilities, to ensure that he can undertake the especially sensitive duties of his office with bold and unhesitating action.","And he contended, to ensure that he can undertake the especially sensitive duties of his office with bold and unhesitating action. A President has absolute immunity. This is from crimi nal prosecution for actions. Actions were performed within the outer pe rimeter of his official responsibilities."
"We conclude that under our constitutional structure of separated powers, the nature of Presidential power requires that a former President have some immunity from criminal prosecution for official acts during his tenure in office.",We conclude. The nature of Presidential power requires. This is under our constitutional structure of separated powers. This is during his tenure in office. This is from criminal prosecution for official acts. A former President have some immunity.
"Following the analysis set forth in Granfinanciera, S. A. v. Nordberg, 492 U. S. 33, and Tull v. United States, 481 U. S. 412, this action implicates the Seventh Amendment because the SEC’s antifraud provisions replicate common law fraud.","This action implicates the Seventh Amendment. This is following the analysis set forth in Granfinanciera, S. A. v. Nordberg, 492 U. S. 33, and Tull v. United States. The SEC 's antifraud provisions replicate common law fraud. Tull v. United States is 481 U. S. 412."
"To determine whether a suit is legal in nature, courts must consider whether the cause of action resembles common law causes of action, and whether the remedy is the sort that was traditionally obtained in a court of law.","Courts must consider whether the cause of action resembles common law causes of action, and whether the remedy is the sort. This was to determine whether a suit is legal in nature. The sort was traditionally obtained in a court of law."
"On that basis, this Court has repeatedly explained that matters concerning private rights may not be removed from Article III courts.",Matters concerning private rights may not be removed from Article III courts. This was what this Court has repeatedly explained on that basis.
"Surveying English cases and considering the remedy these suits provided, the Court concluded that fraudulent conveyance actions were “quintessentially suits at common law.”",The Court was surveying English cases. The Court was considering the remedy. These suits provided. The remedy. The Court concluded. Fraudulent conveyance actions were `` quintessentially suits. ''. This was at common law.
"When a debtor files for bankruptcy, it “creates an estate” that includes virtually all the debtor’s assets.",It `` creates an estate '' that includes virtually all the debtor 's assets. A debtor files for bankruptcy.
"Under Chapter 11, the debtor must develop a reorganization plan governing the distribution of the estate’s assets and present it to the bankruptcy court for approval.",The debtor must develop a reorganization plan governing the distribution of the estate 's assets. The debtor must present it. This is to the bankruptcy court for approval. This is under Chapter 11.
Section 1123(b) addresses the kinds of provisions that may be included in a Chapter 11 plan.,Section 1123 (b) addresses the kinds of provisions. Provisions may be included in a Chapter 11 plan.
"Because provisions like the Sackler discharge are not expressly prohibited, they reason, paragraph (6) necessarily permits them.","Because provisions like the Sackler discharge are not expressly prohibited, they reason necessarily permits them. They reason (6). Is paragraph reason."
"While paragraph (6) doubtlessly confers additional authorities on a bankruptcy court, it cannot be read under the canon of ejusdem generis to endow a bankruptcy court with the “radically different” power to discharge the debts of a nondebtor without the con sent of affected claimants.",Paragraph (6) doubtlessly confers additional authorities. This is on a bankruptcy court. This was to endow a bankruptcy court with the `` radically different '' power to discharge the debts of a nondebtor without the con sent of affected claimants. It can not be read under the canon of ejusdem generis.
"If a federal official accepts a bribe for an official act, federal bribery law provides for a 15-year maximum prison sentence.",Federal bribery law provides for a 15-year maximum prison sentence. A federal official accepts a bribe for an official act.
"In 1984, Congress passed and President Reagan signed a law now codified at 18 U. S. C. §666 that, as relevant here, extended the gratuities prohibition in §201(c) to most state and local officials.","Congress passed. Reagan signed. This was in 1984. A law now codified at 18 U. S. C. § 666 that, as relevant here, extended the gratuities prohibition in § 201 (c) to most state and local officials. Reagan was President."
"As amended, the text of §666 now closely resembles the bribery provision for federal officials, §201(b), and makes it a crime for most state and local officials to “corruptly” solicit, accept, or agree to accept “anything of value” “intending to be influenced or rewarded in connection with” any official business or transaction worth $5,000 or more.","As amended, the text of § 666 now closely resembles the bribery provision for federal officials to be influenced. As amended, the text of § 666 now rewarded in connection. This was worth $ 5,000 or more. This was with '' any official business. This was with '' transaction. This was to be influenced or rewarded in connection with '' any official business or transaction worth $ 5,000 or more. As amended, the text of § 666 now makes it a crime for most. State and local officials to `` corruptly '' solicit. State and local officials to `` corruptly '' accept. State and local officials to `` corruptly '' agree to accept `` anything of value '' `` intending most. Federal officials were § 201 (b)."
The dividing line between §201(b)’s bribery provision and §201(c)’s gratuities provision is that bribery requires an official to have a corrupt state of mind and to accept (or agree to accept) a payment intending to be influenced in an official act.,The dividing line between § 201 (b) 's bribery provision 's gratuities. § 201 (c) 's gratuities. Provision is. Bribery requires an official to have a corrupt state of mind and to accept (or agree to accept) a payment intending to be influenced in an official act gratuities.
"The Government says that the statute would not cover “innocuous” or “obviously benign” gratuities, but the Government does not identify any remotely clear lines separating such a gratuity from a criminal gratuity.",The statute would not cover `` innocuous ''. The statute would not cover `` obviously benign '' gratuities. This is what the Government says. The Government does not identify any remotely clear lines separating such a gratuity from a criminal gratuity.
"Under the doctrine of consular nonreviewability, an executive of ficer’s decision “to admit or to exclude an alien” “is final and conclusive,”.","Under the doctrine of consular nonreviewability, an executive of ficer 's decision `` to admit or to exclude an alien '' `` is final and conclusive, ''."
"Asencio-Cordero cannot invoke the exception himself, thus Muñoz must assert that the denial of her husband’s visa violated her constitutional rights, thereby enabling judicial review.","Asencio-Cordero can not invoke the exception himself. Muñoz must assert. The denial of her husband 's visa violated her constitutional rights, thereby enabling judicial review."
"Thus in United States ex rel. Knauff v. Shaughnessy, 338 U. S. 537, the Court reaffirmed, in the case of a noncitizen spouse who was denied admission for confidential security reasons, the longstanding principle “that the United States can, as a matter of public policy . . . forbid aliens or classes of aliens from coming within [its] borders,” and “[n]o limits can be put by the courts upon” that power.",... forbid aliens or classes of aliens. This was what 338 U. S. 537 in the case of a noncitizen spouse who was denied admission for confidential security reasons and `` [n] o limits can be put by the courts upon '' that power thus in United States ex rel. Knauff v. Shaughnessy. This was from coming within [its] borders. This was as a matter of public policy. The United States can. 338 U. S. 537 was the Court reaffirmed. Confidential security reasons were the longstanding principle.
"The District Court granted summary judgment to the State Department, but the Ninth Circuit vacated the judgment, holding that Muñoz had a constitutionally protected liberty interest in her hus band’s visa application.",The District Court granted summary judgment. This was to the State Department. The Ninth Circuit vacated the judgment. This was what the Ninth Circuit was holding. Muñoz had a constitutionally protected liberty interest in her hus band 's visa application.
"Thus in Apprendi v. New Jersey, 530 U. S. 466, the Court held that a novel “sentencing enhancement” was unconstitutional because it violated the rule that only a jury may find “facts that increase the prescribed range of penalties to which a criminal defendant is ex posed.”",A novel `` sentencing enhancement '' was unconstitutional because it violated the rule that only a jury may find `` facts. ''. This was what the Court held thus in Apprendi v. New Jersey. Facts increase the prescribed range of penalties to which a criminal defendant is ex. Ex was posed. Apprendi v. New Jersey was 530 U. S. 466.
But a sentencing procedure followed by a few States hardly represents “convincing” proof that our precedents have mistaken the original meaning of the Fifth and Sixth Amendments.,But a sentencing procedure followed by a few States hardly represents `` convincing '' proof. Our precedents have mistaken the original meaning of the Fifth and Sixth Amendments.
