Original,Simplified
"Absent vacatur, the remedy for a regulated plaintiff would not automatically extend to other regulated parties.","Without vacatur, a regulated plaintiff's remedy would not automatically extend to other regulated parties."
The Government’s current position on vacatur would de facto overrule Abbott Laboratories as to suits by unregulated parties.,The current Government position would de facto overrule Abbott Laboratories as to suits by unlicensed parties.
"To decide the facial challenges here, the courts below must explore the laws’ full range of applications—the constitutionally impermissible and permissible both—and compare the two sets.","To decide the facial challenges here, the courts below must explore the full range of the laws, both constitutionally permissible and impermissible, and compare the two sets."
But that conclusion would rest on a serious misunderstanding of First Amendment precedent and principle.,"However, that conclusion is based on a serious misunderstanding of First Amendment law and practice."
That controversy sounds a familiar note: We have repeatedly faced the question whether ordering a party to provide a forum for someone else’s views implicates the First Amendment.,That issue sounds a familiar note: We have repeatedly faced the question whether it is possible to order a party to provide a forum for another person's views.
"The Court has repeatedly held that ordering a party to provide a forum for someone else’s views implicates the First Amendment if, though only if, the regulated party is engaged in its own expressive activity, which the mandated access would alter or disrupt.","The Court has repeatedly held that the First Amendment is at stake if a party is ordered to provide a forum for someone else's views, but only if the regulated party is engaged in its own expressive activity, which the access would change or disrupt."
"From that slew of individual cases, three general points emerge.","From that group of cases, three general points come up."
"First, the First Amendment offers protection when an entity engaged in compiling and curating others’ speech into an expressive product of its own is directed to accommodate messages it would prefer to exclude.","First, the First Amendment provides protection when an entity that collects and curates other people's speech into a product of its own is directed to include messages that it would prefer to exclude."
"The next order of business is to decide which of the laws’ applications violate the First Amendment, and to measure them against the rest.","The next step is to determine whether the laws violate the First Amendment, and then to measure them against the rest."
"To ensure “the free exchange of ideas and information,” H. B. 20 requires regulated platforms to abide by the following content-moderation and disclosure requirements.","To ensure the free exchange of information and ideas, H. B. 20 requires regulated platforms to follow the following content-moderation and disclosure rules."
"However, the law allows platforms to censor speech that: federal law “specifically authorize[s]” them to censor; speech that the platform is told sexually exploits children or survivors of sexual abuse; speech that “directly incites criminal activity or consists of specific threats of violence targeted against a person or group because of race, color, disability, religion, national origin or ancestry, age, sex or status as peace officer or judge”; and speech that is otherwise unlawful or has been the subject of a user’s request for removal from his or her feed or profile.","However, the law allows platforms to censor speech that: federal law “specifically authorize[s] them to censor; speech that the platform is told sexually exploits children or survivors of sexual abuse; speech that is otherwise unlawful or consists of specific threats of violence targeted against a person or group because of race, color, disability, religion, national origin or ancestry, age, sex or status as peace officer or judge."
"NetChoice contends that the Florida and Texas statutes facially violate the First Amendment, meaning that they cannot be applied to anyone at any time under any circumstances without violating the Constitution",NetChoice argues that the Florida and Texas laws violate the First Amendment. This means that they cannot be applied to anyone at any time without violating the First Amendment.
"Represented by sophisticated counsel, NetChoice made the deliberate choice to mount a facial challenge to both laws, and in doing so, it obviously knew what it would have to show in order to prevail.","Represented by experienced lawyers, NetChoice chose to mount a face-to-face challenge to both laws, and in doing so, it clearly knew what it would need to show in order to win."
The reasons that justify the President’s absolute immunity from criminal prosecution for acts within the scope of his exclusive constitutional authority do not extend to conduct in areas where his authority is shared with Congress.,The President's absolute immunity from criminal prosecution for acts within the scope of his exclusive constitutional authority does not extend to conduct in areas where Congress has given him authority to do so.
"Appreciating the “unique risks” that arise when the President’s energies are diverted by proceedings that might render him “unduly cautious in the discharge of his official duties,” the Court has recognized Presidential immunities and privileges “rooted in the constitutional tradition of the separation of powers and supported by our history.","The Court has recognized the ""unique risks"" that arise when the President's energies are diverted by proceedings that might render him ""unduly cautious in the discharge of his official duties."" Presidential immunities and privileges are based on our history and the constitutional tradition of separation of powers."
"In Fitzgerald, for instance, the Court concluded that a former Presi dent is entitled to absolute immunity from “damages liability for acts within the ‘outer perimeter’ of his official responsibility.”","In Fitzgerald, for instance, the Court said that a former Prime Minister is entitled to absolute immunity from liability for what he did while he was in office."
"And he contended that a President has absolute immunity from crimi nal prosecution for actions performed within the outer pe rimeter of his official responsibilities, to ensure that he can undertake the especially sensitive duties of his office with bold and unhesitating action.","He argued that a President has absolute immunity from criminal prosecution for actions done outside the limits of his official duties. This way, he could take on the especially sensitive duties of his office with bold and unhesitating action."
"We conclude that under our constitutional structure of separated powers, the nature of Presidential power requires that a former President have some immunity from criminal prosecution for official acts during his tenure in office.","We conclude that under our constitutional system of separation of powers, a former President should have some immunity from criminal prosecution for official acts he performed during his time in office."
"Following the analysis set forth in Granfinanciera, S. A. v. Nordberg, 492 U. S. 33, and Tull v. United States, 481 U. S. 412, this action implicates the Seventh Amendment because the SEC’s antifraud provisions replicate common law fraud.","Following the analysis set forth in Granfinanciera, S. A. v. Nordberg, 492 U. S. 33, and Tull v. United States, 481 U. S. 412, the SECs antifraud provisions are similar to common law fraud."
"To determine whether a suit is legal in nature, courts must consider whether the cause of action resembles common law causes of action, and whether the remedy is the sort that was traditionally obtained in a court of law.","To determine whether a suit is legal in nature, courts must consider whether the cause of action is similar to common law causes of action, and if the remedy can be found in a court of law."
"On that basis, this Court has repeatedly explained that matters concerning private rights may not be removed from Article III courts.","For this reason, this Court has repeatedly said that private rights cannot be taken away from Article III courts."
"Sur veying English cases and considering the remedy these suits provided, the Court concluded that fraudulent conveyance actions were “quintessentially suits at common law.”","Sur veying English cases and considering the remedy these suits offered, the Court decided that fraudulent conveyance cases were basically common law cases."
"When a debtor files for bankruptcy, it “creates an estate” that includes virtually all the debtor’s assets.","When a person files for bankruptcy, he or she creates an estate that includes all the debtor's assets."
"Under Chapter 11, the debtor must develop a reorganization plan governing the distribution of the estate’s assets and present it to the bankruptcy court for approval.","Under Chapter 11, the debtor must develop a reorganization plan to control how the estate is distributed and present it to the court for approval."
Section 1123(b) addresses the kinds of provisions that may be included in a Chapter 11 plan.,Section 1123(b) defines what types of provisions can be included in a Chapter 11 plan.
"Because provisions like the Sackler discharge are not expressly prohibited, they reason, paragraph (6) necessarily permits them.","Because the Sackler decision is not expressly prohibited, they say, paragraph (6) makes it possible for them."
"While paragraph (6) doubtlessly confers additional authorities on a bankruptcy court, it cannot be read under the canon of ejusdem generis to endow a bankruptcy court with the “radically different” power to discharge the debts of a nondebtor without the con sent of affected claimants.","While paragraph (6) surely gives more power to a bankruptcy court, it cannot be read under the canon of ejusdem generis to give a bankruptcy court the ""radically different"" power to get rid of a person's debts without asking the affected people first."
"If a federal official accepts a bribe for an official act, federal bribery law provides for a 15-year maximum prison sentence.","If a federal official takes a bribe for an official act, the maximum prison sentence under federal law is 15 years."
"In 1984, Congress passed and President Reagan signed a law now codified at 18 U. S. C. §666 that, as relevant here, extended the gratuities prohibition in §201(c) to most state and local officials.","In 1984, Congress passed and President Reagan signed a law now codified at 18 U. S. C. §666 that, as relevant here, most state and local officials are now required to pay taxes."
"As amended, the text of §666 now closely resembles the bribery provision for federal officials, §201(b), and makes it a crime for most state and local officials to “corruptly” solicit, accept, or agree to accept “anything of value” “intending to be influenced or rewarded in connection with” any official business or transaction worth $5,000 or more.","As amended, the text of §666 now closely resembles the bribery provision for federal officials, §201(b), and makes it a crime for most state and local officials to accept anything of value from a person or company that is worth more than $5,000. It also makes it a crime to bribe a federal official."
The dividing line between §201(b)’s bribery provision and §201(c)’s gratuities provision is that bribery requires an official to have a corrupt state of mind and to accept (or agree to accept) a payment intending to be influenced in an official act.,The main difference between §201 (b) and §201 (c) is that §201 (b) requires an official to have a corrupt state of mind. §201 (c) requires an official to accept (or agree to accept) a payment for an official act.
"The Government says that the statute would not cover “innocuous” or “obviously benign” gratuities, but the Government does not identify any remotely clear lines separating such a gratuity from a criminal gratuity.","The Government says that the law would not cover so-called ""innocuous"" or ""obviously benign"" gratuities. However, there is no clear line between such a gratuity and a criminal gratuity."
"Under the doctrine of consular nonreviewability, an executive of ficer’s decision “to admit or to exclude an alien” “is final and conclusive,”.","Under the doctrine of consular nonreviewability, the executive of ficer's decision is final and conclusive, and must be followed by all parties."
"Asencio-Cordero cannot invoke the exception himself, thus Muñoz must assert that the denial of her husband’s visa violated her constitutional rights, thereby enabling judicial review.","Because Asencio-Cordero cannot use the exception himself, Muñoz must claim that the government did not honor her constitutional rights. This would allow judicial review."
"Thus in United States ex rel. Knauff v. Shaughnessy, 338 U. S. 537, the Court reaffirmed, in the case of a noncitizen spouse who was denied admission for confidential security reasons, the longstanding principle “that the United States can, as a matter of public policy . . . forbid aliens or classes of aliens from coming within [its] borders,” and “[n]o limits can be put by the courts upon” that power.","In Knauff v. Shaughnessy, 338 U. S. 537, the Court said that it could not stop a noncitizen spouse from coming to the United States for confidential security reasons. The court said that the ""United States can, as a matter of public policy . . . forbid aliens or classes of aliens from coming within [its] borders."""
"The District Court granted summary judgment to the State Department, but the Ninth Circuit vacated the judgment, holding that Muñoz had a constitutionally protected liberty interest in her hus band’s visa application.","The District Court gave the State Department summary judgment, but the Ninth Circuit Court of Appeals said that Muñoz had a right to freedom of speech when she asked for a visa."
"Thus in Apprendi v. New Jersey, 530 U. S. 466, the Court held that a novel “sentencing enhancement” was unconstitutional because it violated the rule that only a jury may find “facts that increase the prescribed range of penalties to which a criminal defendant is ex posed.”","In Apprendi v. New Jersey, 530 U. S. 466, the Court held that a novel ""sentencing enhancement"" was unconstitutional because it violated the rule that only a jury may decide if a sentence is too high or too low."
But a sentencing procedure followed by a few States hardly represents “convincing” proof that our precedents have mistaken the original meaning of the Fifth and Sixth Amendments.,"However, a sentencing procedure followed by a few states does not represent ""convincing"" proof that the Fifth and Sixth Amendments were originally meant that way."
