complex_sentence,simplified_sentence
That controversy sounds a familiar note: We have repeatedly faced the question whether ordering a party to provide a forum for someone else’s views implicates the First Amendment.,We have often asked if making someone give a place for another's views affects the First Amendment.
"The Court has repeatedly held that ordering a party to provide a forum for someone else’s views implicates the First Amendment if, though only if, the regulated party is engaged in its own expressive activity, which the mandated access would alter or disrupt.",The Court has said many times that forcing someone to host another person's views affects the First Amendment only if the person being forced is already sharing their own views and the forced views would change or interrupt their own message.
"From that slew of individual cases, three general points emerge.","From those many individual cases, three main points appear."
"First, the First Amendment offers protection when an entity engaged
in compiling and curating others’ speech into an expressive product of
its own is directed to accommodate messages it would prefer to exclude.","The First Amendment protects an entity that compiles and curates others' speech into its own product, even if it prefers to exclude some messages."
"The next order of business is to decide which of the laws’ applications
violate the First Amendment, and to measure them against the rest.",The next step is to decide which parts of the laws break the First Amendment and compare them to the rest.
"To ensure “the free exchange of ideas and information,” H. B. 20 requires regulated platforms to abide by the following content-moderation and disclosure requirements.",H. B. 20 requires regulated platforms to follow these content moderation and disclosure rules to ensure the free exchange of ideas and information.
"However, the law allows platforms to censor speech that: federal law “specifically authorize[s]” them to censor; speech that the platform is told sexually exploits children or survivors of sexual abuse; speech that “directly incites criminal activity or consists of specific threats of violence targeted against a person or group because of race, color, disability, religion, national origin or ancestry, age, sex or status as peace officer or judge”; and speech that is otherwise unlawful or has been the subject of a user’s request for removal from his or her feed or profile.","However, the law lets platforms censor speech that is allowed by federal law, speech that involves sexual abuse of children or survivors, speech that incites crime or threatens violence based on race, color, disability, religion, national origin, age, sex, or status as a peace officer or judge, and any other unlawful speech or speech that a user wants removed from their feed or profile."
"NetChoice contends that the Florida and Texas statutes facially violate the First Amendment, meaning that they cannot be applied to anyone at any time under any circumstances without violating the Constitution","NetChoice argues that the Florida and Texas laws always violate the First Amendment and cannot be applied to anyone at any time without breaking the Constitution."
"Represented by sophisticated counsel, NetChoice made the deliberate choice to mount a facial challenge to both laws, and in doing so, it obviously knew what it would have to show in order to prevail.","With skilled lawyers, NetChoice chose to challenge both laws directly and knew what it needed to show to win."
The reasons that justify the President’s absolute immunity from criminal prosecution for acts within the scope of his exclusive constitutional authority do not extend to conduct in areas where his authority is shared with Congress.,The President is completely protected from criminal charges for actions within his exclusive constitutional power. This protection does not cover actions where his power is shared with Congress.
"Appreciating the “unique risks” that arise when the President’s energies are diverted by proceedings that might render him “unduly cautious in the discharge of his official duties,” the Court has recognized Presidential immunities and privileges “rooted in the constitutional tradition of the separation of powers and supported by our history.","The Court has recognized Presidential immunities and privileges. These are based on the idea of separation of powers and our history. They understand the risks when the President's focus is taken away by legal issues, making him too careful in doing his job."
"In Fitzgerald, for instance, the Court concluded that a former Presi dent is entitled to absolute immunity from “damages liability for acts within the ‘outer perimeter’ of his official responsibility.”","In Fitzgerald, the Court decided that a former President cannot be sued for actions within the scope of his official duties."
"And he contended that a President has absolute immunity from crimi nal prosecution for actions performed within the outer pe rimeter of his official responsibilities, to ensure that he can undertake the especially sensitive duties of his office with bold and unhesitating action.",He argued that a President cannot be criminally prosecuted for actions done as part of his official duties so that he can do his job confidently.
"We conclude that under our constitutional structure of
separated powers, the nature of Presidential power re-
quires that a former President have some immunity from
criminal prosecution for official acts during his tenure in
office.",We conclude that a former President needs some protection from criminal charges for official acts done while in office because of our separated powers system.
"Following the analysis set forth in Granfinanciera, S. A. v. Nordberg, 492 U. S. 33, and Tull v. United States, 481 U. S. 412, this action implicates the Sev enth Amendment because the SEC’s antifraud provisions replicate common law fraud.","This action involves the Seventh Amendment because the SEC’s antifraud rules are similar to common law fraud, as explained in Granfinanciera, S. A. v. Nordberg and Tull v. United States."
"To determine whether a suit is legal in nature, courts must consider whether the cause of action resembles common law causes of action, and whether the remedy is the sort that was traditionally obtained in a court of law.","To decide if a suit is legal, courts must see if the case is like common law cases and if the remedy was traditionally given by a court."
"On that basis, this Court has repeatedly explained that matters concerning private rights may not be removed from Article III courts.","This Court has said many times that private rights cases cannot be taken from Article III courts."
"Sur veying English cases and considering the remedy these suits provided, the Court concluded that fraudulent conveyance actions were “quin tessentially suits at common law.”",The Court looked at English cases and saw that fraudulent conveyance actions were mainly common law suits.
"When a debtor files for bankruptcy, it “creates an estate” that includes virtually all the debtor’s assets.","When a debtor files for bankruptcy, it creates an estate that includes almost all the debtor's assets."
"Under Chapter 11, the debtor must develop a reorganization plan governing
the distribution of the estate’s assets and present it to the bankruptcy court for approval.","Under Chapter 11, the debtor must create a plan to distribute the estate's assets and get it approved by the bankruptcy court."
Section 1123(b) addresses the kinds of provisions that may be included in a Chapter 11 plan.,Section 1123(b) discusses what can be included in a Chapter 11 plan.
"Because provisions like the Sackler discharge are not expressly prohibited, they reason, paragraph (6) necessarily permits them.","Because provisions like the Sackler discharge are not clearly banned, they believe paragraph (6) must allow them."
"While paragraph (6) doubtlessly confers additional author  ities on a bankruptcy court, it cannot be read under the canon of  ejusdem generis to endow a bankruptcy court with the “radically dif  ferent” power to discharge the debts of a nondebtor without the con  sent of affected claimants.","Paragraph (6) gives a bankruptcy court extra powers, but it does not allow the court to cancel a nondebtor's debts without consent from those affected."
"If a federal official accepts a bribe for an official act, federal bribery law provides for a 15-year maximum prison sentence.","If a federal official takes a bribe for an official action, federal bribery law says they can go to prison for up to 15 years."
"In 1984, Congress passed and President Reagan signed a law now codified at 18 U. S. C. §666 that, as relevant here, extended the gratuities prohibition in §201(c) to most state and local officials.","In 1984, Congress passed a law signed by President Reagan. The law extended the ban on gratuities to most state and local officials."
"As amended, the text of §666 now closely resembles the bribery provision for federal officials, §201(b), and makes it a crime for most state and local officials to “corruptly” solicit, accept, or agree to accept “anything of value” “intending to be influenced or rewarded in connection with” any official business or transaction worth $5,000 or more.","The amended text of §666 is similar to the bribery law for federal officials, §201(b). It makes it a crime for most state and local officials to corruptly ask for, accept, or agree to accept anything of value to be influenced or rewarded in connection with any official business worth $5,000 or more."
The dividing line between §201(b)’s bribery provision and §201(c)’s gratuities provision is that bribery requires an official to have a corrupt state of mind and to accept (or agree to accept) a payment intending to be influenced in an official act.,Bribery means an official must be corrupt and accept a payment intending to be influenced in an official act. Gratuities do not require this corrupt intent.
"The Government says that the statute would not cover
“innocuous” or “obviously benign” gratuities, but the Government does
not identify any remotely clear lines separating such a gratuity from a
criminal gratuity.","The Government says the law would not cover ""harmless"" gratuities, but it does not clearly separate these from criminal gratuities."
"Under the doctrine of consular nonreviewability, an executive of ficer’s decision “to admit or to exclude an alien” “is final and conclu sive,”.","Under the doctrine of consular nonreviewability, an executive officer’s decision to let in or exclude an alien is final and cannot be challenged."
"Asencio-Cordero cannot invoke the exception himself, thus Muñoz must assert that the denial of her husband’s visa violated her consti tutional rights, thereby enabling judicial review.","Asencio-Cordero cannot use the exception himself. So, Muñoz must claim that denying her husband's visa violated her constitutional rights, allowing a court to review the case."
"Thus in United States ex rel. Knauff v. Shaughnessy, 338 U. S. 537, the Court reaffirmed, in the case of a noncitizen spouse who was denied admission for confidential security reasons, the longstanding principle “that the United States can, as a matter of public policy . . . forbid aliens or classes of aliens from coming within [its] borders,” and “[n]o limits can be put by the courts upon” that power.","In the case United States ex rel. Knauff v. Shaughnessy, the Court decided that the U.S. can stop noncitizens from entering the country for security reasons. The Court also said that there are no limits on this power."
"The District Court granted summary judgment to the State De partment, but the Ninth Circuit vacated the judgment, holding that Muñoz had a constitutionally protected liberty interest in her hus band’s visa application.","The District Court ruled in favor of the State Department. However, the Ninth Circuit overturned this decision, stating that Muñoz had a protected liberty interest in her husband’s visa application."
" Thus in Apprendi v. New Jersey, 530 U. S. 466, the Court held that a novel “sentencing enhancement” was unconstitutional because it violated the rule that only a jury may find “facts that increase the prescribed range of penalties to which a criminal defendant is ex posed.”","In Apprendi v. New Jersey, the Court decided that a new sentencing enhancement was unconstitutional because only a jury can find facts that increase the penalties for a criminal defendant."
But a sentencing procedure followed by a few States hardly represents “convincing” proof that our precedents have mistaken the original meaning of the Fifth and Sixth Amendments.,But a sentencing procedure used by a few States does not convincingly prove that our past decisions misunderstood the original meaning of the Fifth and Sixth Amendments.
