complex_sentence,simplified_sentence
We excluded trials without a registered trial protocol and trials without approval by an institutional ethics committee. ,We excluded trials. This was without approval. This was by an institutional ethics committee. This was without a registered trial protocol. This was without trials.
"Statins probably result in little to no difference in myocardial infarction (RR 0.88, 95% CI 0.73 to 1.06; I2 = 0%; 5 RCTs, 4645 participants; moderate‐certainty evidence), may result in little to no difference in atrial fibrillation (RR 0.87, 95% CI 0.72 to 1.05; I2 = 60%; 8 RCTs, 5592 participants; low‐certainty evidence), and may result in little to no difference in stroke (RR 1.47, 95% CI 0.90 to 2.40; I2 = 0%; 4 RCTs, 5143 participants; low‐certainty evidence).",Statins probably result in little. This is to no difference in myocardial infarction (RR 0.88). This is to no difference in atrial fibrillation (RR 0.87). This is to no difference in stroke (RR 1.47). Statins probably may result in little. This is to 2.40 ; I2 ; 4 RCTs ; low‐certainty evidence. Statins probably may result in little. RR 1.47 is 95 %. CI 0.90 95 %. = 0 % I2. 4 RCTs are 5143 participants. RR 0.87 is 95 % CI 0.72 to 1.05 ; I2 = 60 % ; 8 RCTs ; low‐certainty evidence. 8 RCTs are 5592 participants. RR 0.88 is 95 % CI 0.73 to 1.06 ; I2 = 0 % ; 5 RCTs ; moderate‐certainty evidence. 5 RCTs are 4645 participants.
Vitamin D supplementation during pregnancy may help improve maternal and neonatal health outcomes (such as fewer preterm birth and low birthweight babies) and reduce the risk of adverse pregnancy outcomes (such as severe postpartum haemorrhage). ,Vitamin D supplementation during pregnancy may help improve maternal and neonatal health outcomes (such as fewer preterm birth). Vitamin D supplementation during pregnancy may help improve maternal and neonatal health outcomes (such as low birthweight babies). Vitamin D supplementation during pregnancy may help reduce the risk of adverse pregnancy outcomes (such as severe postpartum haemorrhage).
Selection criteria: Randomised and quasi‐randomised trials evaluating the effect of supplementation with vitamin D alone or in combination with other micronutrients for women during pregnancy in comparison to placebo or no intervention. ,Selection criteria : Randomised and quasi‐randomised trials evaluating the effect of supplementation with vitamin D alone or in combination with other micronutrients for women during pregnancy in comparison to placebo or no intervention.
"The evidence is very uncertain about the effect of supplementation with vitamin D during pregnancy compared to placebo or no intervention on pre‐eclampsia (risk ratio (RR) 0.53, 95% confidence interval (CI) 0.21 to 1.33; 1 study, 165 women), gestational diabetes (RR 0.53, 95% CI 0.03 to 8.28; 1 study, 165 women), preterm birth (< 37 weeks) (RR 0.76, 95% CI 0.25 to 2.33; 3 studies, 1368 women), nephritic syndrome (RR 0.17, 95% CI 0.01 to 4.06; 1 study, 135 women), or hypercalcaemia (1 study; no cases reported).","The evidence is very uncertain about the effect of supplementation with vitamin D during pregnancy. This was compared to placebo. This was compared to no intervention on pre‐eclampsia (risk ratio (RR) 0.53 1 study, 165 women), gestational diabetes (RR 0.53 165 women), preterm birth (< 37 weeks) (RR 0.76 1368 women), nephritic syndrome (RR 0.17 135 women), or hypercalcaemia (1 study ; no cases reported). RR 0.17 was 95 % CI 0.01 to 4.06 ; 1 study. RR 0.76 was 95 % CI 0.25 to 2.33 ; 3 studies. RR 0.53 was 95 % CI 0.03 to 8.28 ; 1 study. Risk ratio (RR) 0.53 was 95 % confidence interval (CI) 0.21 to 1.33."
"Supplementation with vitamin D during pregnancy may reduce the risk of severe postpartum haemorrhage; however, only one study reported this outcome (RR 0.68, 95% CI 0.51 to 0.91; 1 study, 1134 women; low‐certainty evidence) and may reduce the risk of low birthweight; however, the upper CI suggests that an increase in risk cannot be ruled out (RR 0.69, 95% CI 0.44 to 1.08; 3 studies, 371 infants; low‐certainty evidence). ",Supplementation with vitamin D during pregnancy may reduce the risk of severe postpartum haemorrhage. Only one study reported this outcome (RR 0.68). Only one study may reduce the risk of low birthweight. RR 0.68 was 95 % CI 0.51 to 0.91 ; 1 study ; low‐certainty evidence. 1 study was 1134 women. The upper CI suggests. An increase in risk can not be ruled out (RR 0.69). RR 0.69 was 95 % CI 0.44 to 1.08 ; 3 studies ; low‐certainty evidence. 3 studies were 371 infants.
"The evidence is very uncertain about the effect of supplementation with vitamin D and calcium on preterm birth (RR not estimable; very low‐certainty evidence) or for low birthweight (RR 1.45, 95% CI 0.14 to 14.94; very low‐certainty evidence) compared to women who received placebo or no intervention. ",The evidence is very uncertain about the effect of supplementation with vitamin D (RR not estimable ; very low‐certainty evidence) or for low birthweight (RR 1.45) compared to women. The evidence is very uncertain about the effect of supplementation with calcium on preterm birth (RR not estimable ; very low‐certainty evidence) or for low birthweight (RR 1.45) compared to women. Women received placebo. Women received no intervention. RR 1.45 was 95 % CI 0.14. This was to 14.94 ; very low‐certainty evidence.
Feeding via a tube misplaced in the trachea can result in severe pneumonia.,Feeding via a tube can result in severe pneumonia. A tube is misplaced in the trachea.
The objective was to assess the diagnostic accuracy of ultrasound alone or in combination with other methods for gastric tube placement confirmation in children and adults. ,The objective was to assess the diagnostic accuracy of ultrasound alone or in combination with other methods for gastric tube placement confirmation. This was in children and adults.
"Based on limited evidence, ultrasound does not have sufficient accuracy as a single test to confirm gastric tube placement.",Ultrasound does not have sufficient accuracy as a single test. This is to confirm gastric tube placement. This is based on limited evidence.
"Our 2009 Cochrane review found that calcium channel blockers (CCBs) improved graft function and prevented graft loss, while the evidence for other BP‐lowering treatments was limited. ",Our 2009 Cochrane review found. The evidence for other BP‐lowering treatments was limited. Calcium channel blockers (CCBs) improved graft function. Calcium channel blockers (CCBs) prevented graft loss.
Randomised controlled trials (RCTs) and quasi‐RCTs evaluating any BP‐lowering agent in recipients of a functioning kidney transplant for at least two weeks were eligible,Randomised controlled trials (RCTs) were eligible. Quasi‐RCTs evaluating any BP‐lowering agent in recipients of a functioning kidney transplant for at least two weeks were eligible.
"Compared to placebo or standard care alone, CCBs probably reduce all‐cause death and graft loss.",CCBs probably reduce all‐cause death. CCBs probably reduce graft loss. This is compared to placebo or standard care alone.
"The effects of CCBs, ACEi or ARB compared to placebo or standard care alone on cardiovascular outcomes (including fatal or nonfatal myocardial infarction, fatal or nonfatal stroke) or other adverse events were uncertain. ","The effects of CCBs, ACEi or ARB compared to placebo or standard care alone on cardiovascular outcomes. Other adverse events were uncertain. Fatal was fatal or nonfatal stroke. Nonfatal myocardial infarction was fatal or nonfatal stroke."
"For kidney transplant recipients, the use of CCB therapy to reduce BP probably reduces death and graft loss compared to placebo or standard care alone, while ARB may reduce graft loss",The use of CCB therapy to reduce BP probably reduces death and graft loss. This was compared to placebo or standard care alone. This is for kidney transplant recipients. ARB may reduce graft loss.
Cell transplantation offers a potential therapeutic approach to the repair and regeneration of damaged vascular and cardiac tissue after acute myocardial infarction (AMI). ,Cell transplantation offers a potential therapeutic approach. This was to the repair and regeneration of damaged vascular. This was to the repair and regeneration of cardiac tissue after acute myocardial infarction (AMI).
"Normal pressure hydrocephalus (NPH) occurs when the brain ventricles expand, causing a triad of gait, cognitive, and urinary impairment.","Normal pressure hydrocephalus (NPH) occurs. The brain ventricles expand, causing a triad of gait, cognitive, and urinary impairment."
"It can occur after a clear brain injury such as trauma, but can also occur without a clear cause (termed idiopathic, or iNPH). ","It can occur after a clear brain injury such as trauma. It can also occur without a clear cause (termed idiopathic, or iNPH)."
"Non‐randomised studies have shown a benefit from surgically diverting ventricular fluid to an area of lower pressure by cerebrospinal fluid (CSF)‐shunting in iNPH, but historically there have been limited randomised controlled trial (RCT) data to confirm this. ",Non‐randomised studies have shown a benefit. This was from surgically diverting ventricular fluid to an area of lower pressure by cerebrospinal fluid (CSF) shunting in iNPH. This was to confirm this. Historically there have been limited randomised controlled trial (RCT) data.
CSF‐shunting probably improves gait speed at less than six months post‐surgery .,CSF‐shunting probably improves gait speed. This is at less than six months post‐surgery.
CSF‐shunting may improve qualitative gait function at less than six months post‐surgery by an uncertain amount ,CSF‐shunting may improve qualitative gait function. This is at less than six months post‐surgery. This is by an uncertain amount.
The evidence is very uncertain about the effect of CSF‐shunting on cognitive function at less than six months post‐CSF‐shunt surgery.,The evidence is very uncertain about the effect of CSF‐shunting on cognitive function at less than six months post‐CSF‐shunt surgery.
Eczema (atopic dermatitis) is the most burdensome skin condition worldwide and cannot currently be prevented or cured. ,Eczema (atopic dermatitis) is the most burdensome skin condition worldwide. Eczema (atopic dermatitis) can not currently be prevented or cured.
The objective was to compare and rank the efficacy and safety of topical anti‐inflammatory treatments for people with eczema using a network meta‐analysis. ,The objective was to compare and rank the efficacy and safety of topical anti‐inflammatory treatments for people with eczema using a network meta‐analysis.
"We included 291 studies involving 45,846 participants with the full spectrum of eczema severity, mainly conducted in high‐income countries in secondary care settings.","We included 291 studies involving 45,846 participants with the full spectrum of eczema severity. The full spectrum of eczema severity was mainly conducted in high‐income countries in secondary care settings."
"Treatment duration and trial participation were a median of 21 and 28 days (ranging from 7 days to 5 years), respectively.",Treatment duration were a median of 21 and 28 days (ranging from 7 days to 5 years). Trial participation were a median of 21 and 28 days (ranging from 7 days to 5 years). This was respectively.
"NMA of 25 trials reporting skin thinning found no evidence for increased skin thinning with short‐term (median 3 weeks, range 1‐16 weeks) use of mild TCS, moderate TCS, potent TCS, or very potent TCS , all with low confidence.","NMA of 25 trials found no evidence for increased skin. Increased skin was thinning with short‐term (median 3 weeks) use of mild TCS, moderate TCS, potent TCS, or very potent TCS. 25 trials were reporting skin thinning. TCS is all with low confidence. Median 3 weeks are range 1‐16 weeks."
The prevalence of tobacco use among people living with HIV (PLWH) is up to four times higher than in the general population.,The prevalence of tobacco use among people is up to four times higher than in the general population. People are living with HIV (PLWH).
"The objective was to assess the benefits, harms and tolerability of interventions for tobacco use cessation among people living with HIV. ","The objective was to assess the benefits, harms and tolerability of interventions for tobacco use cessation. This was among people. People were living with HIV."
"We included randomised controlled trials (RCTs) of individual‐/group‐level behavioural or pharmacological interventions, or both, for tobacco use cessation, delivered directly to PLWH aged 18 years and over, who use tobacco.","We included randomised controlled trials (RCTs) of individual / group‐level behavioural or pharmacological interventions, or both. Tobacco use cessation was delivered directly to PLWH aged 18 years and over. Both delivered directly to PLWH aged 18 years and over use tobacco. This was for tobacco use cessation."
"We also included RCTs, quasi‐RCTs, other non‐randomised controlled studies (e.g. controlled before and after studies), and interrupted time series studies of system‐change interventions for tobacco use cessation among PLWH. ",We also included RCTs. We also interrupted time series studies of system‐change interventions. This was for tobacco use cessation among PLWH. RCTs was quasi‐rcts (e.g. controlled before and after studies). Quasi‐rcts were other non‐randomised controlled studies.
Low‐certainty evidence did not demonstrate a clear benefit for tobacco use cessation rates in PLWH randomised to receive behavioural support compared with brief advice or no intervention.,Low‐certainty evidence did not demonstrate a clear benefit for tobacco use cessation rates. This was in PLWH. PLWH was randomised to receive behavioural support. This was compared with brief advice. This was compared with no intervention.
Moderate‐certainty evidence suggested that varenicline may help more PLWH to quit smoking than placebo with no evidence of heterogeneity.,Moderate‐certainty evidence suggested. Varenicline may help more PLWH to quit smoking than placebo with no evidence of heterogeneity.
Low‐certainty evidence did not detect a difference between varenicline and placebo in the proportion of participants experiencing SAEs.,Low‐certainty evidence did not detect a difference between varenicline and placebo. This was in the proportion of participants. Participants were experiencing SAEs.
No studies assessed SAEs for the following: behavioural support plus NRT versus brief advice; varenicline versus NRT and cytisine versus NRT. ,No studies assessed SAEs for the following. No studies assessed behavioural support plus NRT versus brief advice. No studies assessed varenicline versus NRT. No studies assessed cytisine versus NRT.
Repetitive transcranial magnetic stimulation (rTMS) is a non‐invasive therapy involving induction of electrical currents in cortical brain tissue.,Repetitive transcranial magnetic stimulation (rTMS) is a non‐invasive therapy involving induction of electrical currents in cortical brain tissue.
Current pharmacological and psychotherapeutic treatments for PTSD are associated with inadequate symptom improvement and high dropout rates. ,Current pharmacological and psychotherapeutic treatments for PTSD are associated with inadequate symptom improvement and high dropout rates.
The evidence is very uncertain about the effect of active rTMS on serious adverse events.,The evidence is very uncertain about the effect of active rTMS on serious adverse events.
