complex_sentence,original_simple_sentence,simplified_sentence
Cell transplantation offers a potential therapeutic approach to the repair and regeneration of damaged vascular and cardiac tissue after acute myocardial infarction (AMI). ,Bone marrow‐derived cells have been investigated as an additional treatment for heart attacks based on their ability to repair damaged heart muscle,Cell transplantation can help fix damaged heart and blood vessel tissue.
"Normal pressure hydrocephalus (NPH) occurs when the brain ventricles expand, causing a triad of gait, cognitive, and urinary impairment.","Normal pressure hydrocephalus (NPH) is a medical condition where normal fluid‐filled brain structures (ventricles) slowly become larger over time (hydrocephalus), and the surrounding brain structures slowly change to adjust to this. Eventually, the critical brain structures become affected, causing symptoms such as difficulty walking, thinking, and with bladder control. ","NPH is a condition where the brain's fluid-filled chambers become enlarged, leading to problems with walking, thinking and bladder control."
"It can occur after a clear brain injury such as trauma, but can also occur without a clear cause (termed idiopathic, or iNPH). ","Sometimes there is a clear reason for the ventricles getting larger, for example after a head injury, where blood can 'clog‐up' the ventricles. However, in older adults (over 60 years), NPH develops with no clear cause, known as 'idiopathic' normal pressure hydrocephalus (iNPH). ",It can happen after a head injury. It can also happen without any known reason.
"Non‐randomised studies have shown a benefit from surgically diverting ventricular fluid to an area of lower pressure by cerebrospinal fluid (CSF)‐shunting in iNPH, but historically there have been limited randomised controlled trial (RCT) data to confirm this. ","There have been reports of patients with iNPH getting better when an operation is performed where a tube is inserted into the brain or spinal canal to move the cerebrospinal fluid (CSF) to an area of lower pressure such as the abdominal cavity or right atrium of the heart (CSF‐shunting). However, most of the evidence to support the use of CSF‐shunting has been of low quality, and people having CSF‐shunting were not directly compared with control groups who did not have CSF‐shunting","Surgically diverting ventricular fluid to a lower pressure area has been shown to help, but most studies were not random and the results are not yet confirmed by large, well-controlled trials."
CSF‐shunting probably improves gait speed at less than six months post‐surgery .,Walking speed probably improves with CSF‐shunting compared with control. ,CSF-shunting likely helps patients walk faster within half a year after surgery.
CSF‐shunting may improve qualitative gait function at less than six months post‐surgery by an uncertain amount ,CSF‐shunting may improve walking function by an uncertain amount. ,CSF-shunting may slightly improve walking ability within six months after surgery.
The evidence is very uncertain about the effect of CSF‐shunting on cognitive function at less than six months post‐CSF‐shunt surgery.,It is unclear if CSF‐shunt surgery has an effect on cognitive function or unwanted effects. ,The evidence is unclear about how well CSF-shunting improves cognitive function after a short time following CSF-shunt surgery.
Eczema (atopic dermatitis) is the most burdensome skin condition worldwide and cannot currently be prevented or cured. ,Eczema (atopic dermatitis) is a common inflammatory skin condition with no cure.,Eczema is a common and difficult-to-cure skin condition that can't be prevented.
The objective was to compare and rank the efficacy and safety of topical anti‐inflammatory treatments for people with eczema using a network meta‐analysis. ,We wanted to find the most effective and also the safest topical anti‐inflammatory treatments for people with eczema. ,"The goal was to compare and evaluate the best treatments for eczema, considering their effectiveness and safety."
"We included 291 studies involving 45,846 participants with the full spectrum of eczema severity, mainly conducted in high‐income countries in secondary care settings.","We analysed 291 studies involving 45,846 people with eczema of different severities and most of the studies took place in wealthier countries and focused on adults.","We looked at 291 studies that involved over 45,000 people and covered all levels of eczema severity."
"Treatment duration and trial participation were a median of 21 and 28 days (ranging from 7 days to 5 years), respectively.",The studies lasted between seven days and five years.,The treatment lasted a median of 21 days. Patients were in trials for a median of 28 days.
"NMA of 25 trials reporting skin thinning found no evidence for increased skin thinning with short‐term (median 3 weeks, range 1‐16 weeks) use of mild TCS, moderate TCS, potent TCS, or very potent TCS , all with low confidence.","There was no evidence of increased skin thinning with short‐term (16 weeks or fewer) use of any treatment, including once or twice daily potent corticosteroids.",No study found that using any kind of topical corticosteroid for a short time causes thin skin.
The prevalence of tobacco use among people living with HIV (PLWH) is up to four times higher than in the general population.,Smoking rates are about four times higher in people living with HIV than in the general population.,Tobacco use is much more common among people living with HIV.
"The objective was to assess the benefits, harms and tolerability of interventions for tobacco use cessation among people living with HIV. ","We wanted to find the best methods to help people living with HIV stop using tobacco, and see whether there were unwanted effects. ",The goal was to find out whether quitting smoking helps or hurts people with HIV.
"We included randomised controlled trials (RCTs) of individual‐/group‐level behavioural or pharmacological interventions, or both, for tobacco use cessation, delivered directly to PLWH aged 18 years and over, who use tobacco.",We searched for studies that investigated quit methods aimed directly at adults with diagnosed HIV.,We studied randomised controlled trials that helped people stop smoking.
"We also included RCTs, quasi‐RCTs, other non‐randomised controlled studies (e.g. controlled before and after studies), and interrupted time series studies of system‐change interventions for tobacco use cessation among PLWH. ","Also, studies on system change, aimed at people living with HIV who were receiving care, or healthcare staff working in these facilities.",We also included studies like randomised controlled trials and others where participants were not randomly chosen to help people with HIV stop smoking.
Low‐certainty evidence did not demonstrate a clear benefit for tobacco use cessation rates in PLWH randomised to receive behavioural support compared with brief advice or no intervention.,There was no clear evidence that behavioural support was more effective for quitting tobacco than brief advice or no support.,Low-certainty evidence does not show that giving extra help to people living with HIV helps them stop smoking more than just a quick tip or nothing at all.
Moderate‐certainty evidence suggested that varenicline may help more PLWH to quit smoking than placebo with no evidence of heterogeneity.,Varenicline likely helps people living with HIV to quit smoking compared to placebo.,Varenicline seems to help people with HIV who smoke to quit.
Low‐certainty evidence did not detect a difference between varenicline and placebo in the proportion of participants experiencing SAEs.,There are probably no more serious unwanted effects with varenicline than placebo.,Low-certainty evidence found no difference between varenicline and a dummy treatment in the number of severe events.
No studies assessed SAEs for the following: behavioural support plus NRT versus brief advice; varenicline versus NRT and cytisine versus NRT. ,"No studies assessed serious unwanted effects for behavioural support plus NRT compared with brief advice, varenicline compared with NRT, and cytisine compared with NRT. ","No studies have looked at side effects for the following: support and NRT compared to brief advice; varenicline compared to NRT, and cytisine compared to NRT."
Repetitive transcranial magnetic stimulation (rTMS) is a non‐invasive therapy involving induction of electrical currents in cortical brain tissue.,rTMS is a non‐invasive treatment that involves inducing an electrical field in brain tissue by placing a coil against the scalp that releases magnetic pulses. ,A non-invasive therapy called rTMS involves sending electrical currents to the brain.
Current pharmacological and psychotherapeutic treatments for PTSD are associated with inadequate symptom improvement and high dropout rates. ,"Existing treatments are associated with high dropout rates, which suggests people may have problems with tolerating treatment and may continue to experience symptoms. ",Current treatments for PTSD often don't work well and people stop going to therapy.
The evidence is very uncertain about the effect of active rTMS on serious adverse events.,It is unclear whether rTMS is associated with increased chances of experiencing a serious unwanted effect.,The evidence is unclear about the effect of active rTMS on serious side effects.
