Sentence ID,Source,Target,System,Dataset,Family,Edit Type,Edit Sub-Type,Edit Classification,Structure Sub-Type,Quality,Information Impact,Grammar Error,Significance,Input Index,Output Index,Constituent Edits,Is Constituent Edit,Parent Edit Type,Constituent Input Index,Constituent Output Index,Input Text,Output Text,has_specialized_terms,contains_named_entity
ChatGPT_002,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",The road starts in Bangui and goes northwest to the border with Chad near Békoro.,ChatGPT,wikiEN,Conceptual,deletion,Bad Deletion,Bad Deletion,,Error,Generalization,No,1,"[[71, 93]]",,0,False,,[],[],ultimately terminating,,True,False
ChatGPT_003,"As a key component of the country's road network, the N1 facilitates connectivity between the capital and the northeastern regions, playing a role in the nation's economic and social development.",The N1 is an important part of the country's road network. || It connects the capital to the northeastern regions and helps with economic and social development.,ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,2,"[[57, 89]]","[[65, 73]]",0,False,,[],[],facilitates connectivity between,connects,True,False
ChatGPT_003,"As a key component of the country's road network, the N1 facilitates connectivity between the capital and the northeastern regions, playing a role in the nation's economic and social development.",The N1 is an important part of the country's road network. || It connects the capital to the northeastern regions and helps with economic and social development.,ChatGPT,wikiEN,Conceptual,substitution,Information Rewrite,Bad Substitution,,Error,Same Information,No,1,"[[132, 146]]","[[118, 123]]",0,False,,[],[],playing a role,helps,False,False
ChatGPT_003,"As a key component of the country's road network, the N1 facilitates connectivity between the capital and the northeastern regions, playing a role in the nation's economic and social development.",The N1 is an important part of the country's road network. || It connects the capital to the northeastern regions and helps with economic and social development.,ChatGPT,wikiEN,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,1,"[[147, 162]]",,0,False,,[],[],in the nation's,,False,False
ChatGPT_003,"As a key component of the country's road network, the N1 facilitates connectivity between the capital and the northeastern regions, playing a role in the nation's economic and social development.",The N1 is an important part of the country's road network. || It connects the capital to the northeastern regions and helps with economic and social development.,ChatGPT,wikiEN,Syntax,split,Sentence Split,Good Split,,No Error,Same Information,No,2,,,1,False,,"[[[50, 56]]]","[[[62, 64]]]",,,False,False
ChatGPT_003,"As a key component of the country's road network, the N1 facilitates connectivity between the capital and the northeastern regions, playing a role in the nation's economic and social development.",The N1 is an important part of the country's road network. || It connects the capital to the northeastern regions and helps with economic and social development.,ChatGPT,wikiEN,Syntax,structure,Clausal Structure,Good Structure,Clausal Structure,No Error,Same Information,No,3,,,2,False,,"[[[0, 4]], [[5, 18]]]","[[[0, 12]], [[13, 27]]]",,,False,False
ChatGPT_004,"The N1 route commences in the heart of Bangui, the capital city of the Central African Republic, near the Ubangi River, which forms the border with the Democratic Republic of Congo.","The N1 route starts in the center of Bangui, the capital of the Central African Republic, near the Ubangi River, which is the border with the Democratic Republic of Congo.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[13, 22]]","[[13, 19]]",0,False,,[],[],commences,starts,False,False
ChatGPT_004,"The N1 route commences in the heart of Bangui, the capital city of the Central African Republic, near the Ubangi River, which forms the border with the Democratic Republic of Congo.","The N1 route starts in the center of Bangui, the capital of the Central African Republic, near the Ubangi River, which is the border with the Democratic Republic of Congo.",ChatGPT,wikiEN,Lexical,substitution,Trivial Change,Trivial Substitution,,Trivial,Same Information,No,0,"[[30, 35]]","[[27, 33]]",0,False,,[],[],heart,center,False,False
ChatGPT_004,"The N1 route commences in the heart of Bangui, the capital city of the Central African Republic, near the Ubangi River, which forms the border with the Democratic Republic of Congo.","The N1 route starts in the center of Bangui, the capital of the Central African Republic, near the Ubangi River, which is the border with the Democratic Republic of Congo.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[126, 131]]","[[119, 121]]",0,False,,[],[],forms,is,False,False
ChatGPT_004,"The N1 route commences in the heart of Bangui, the capital city of the Central African Republic, near the Ubangi River, which forms the border with the Democratic Republic of Congo.","The N1 route starts in the center of Bangui, the capital of the Central African Republic, near the Ubangi River, which is the border with the Democratic Republic of Congo.",ChatGPT,wikiEN,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,2,"[[59, 63]]",,0,False,,[],[],city,,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Conceptual,substitution,Information Rewrite,Bad Substitution,,Error,Same Information,No,1,"[[12, 30]]","[[9, 13]]",0,False,,[],[],along this stretch,here,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,2,"[[0, 11]]","[[0, 8]]",0,False,,[],[],The terrain,The land,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Conceptual,insertion,,Good Insertion,,No Error,Elaboration,No,1,,"[[17, 23]]",0,False,,[],[],,mostly,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Conceptual,substitution,Information Rewrite,Bad Substitution,,Error,Same Information,No,1,"[[56, 58]]","[[29, 31]]",0,False,,[],[],to,or,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,1,"[[74, 79]]",,0,False,,[],[],"land,",,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[134, 140]]","[[89, 92]]",0,False,,[],[],sparse,few,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[151, 166]]","[[104, 118]]",0,False,,[],[],low forestation,small forests.,True,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,1,"[[167, 177]]",,0,False,,[],[],elsewhere.,,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Syntax,structure,Clausal Structure,Good Structure,Clausal Structure,No Error,Same Information,No,2,,,2,False,,"[[[80, 93]], [[112, 116]]]","[[[48, 52]], None]",,,False,False
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,Syntax,structure,Clausal Structure,Good Structure,Clausal Structure,No Error,Same Information,No,2,,,1,False,,"[[[34, 50]]]",[None],,,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Conceptual,insertion,,Good Insertion,,No Error,Elaboration,No,2,,"[[50, 59]]",0,False,,[],[],,who was a,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Conceptual,insertion,,Good Insertion,,No Error,Elaboration,No,1,,"[[108, 118]]",0,False,,[],[],,also named,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Conceptual,deletion,Bad Deletion,Bad Deletion,,Error,Generalization,No,1,"[[131, 143]]",,0,False,,[],[],"the younger,",,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[164, 188]]","[[185, 207]]",0,False,,[],[],"a promising rhetorician,",being good at rhetoric,True,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Syntax,structure,Voice,Good Structure,Voice,No Error,Same Information,No,2,,,1,False,,"[[[189, 226]]]","[[[212, 227]]]",,,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Syntax,structure,Clausal Structure,Trivial Structure,Clausal Structure,Trivial,Same Information,No,0,,,1,False,,"[[[152, 163]]]","[[[174, 184]]]",,,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Conceptual,insertion,,Good Insertion,,No Error,Elaboration,No,1,,"[[81, 85]]",0,False,,[],[],,They,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Syntax,split,Sentence Split,Good Split,,No Error,Same Information,No,1,,,1,False,,[None],"[[[78, 80]]]",,,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Lexical,substitution,Trivial Change,Trivial Substitution,,Trivial,Same Information,No,0,"[[144, 147]]","[[160, 169]]",0,False,,[],[],who,Their son,False,False
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,Syntax,split,Sentence Split,Good Split,,No Error,Same Information,No,2,,,1,False,,[None],"[[[157, 159]]]",,,False,False
ChatGPT_007,"Asinia was a noblewoman of ancient Roman who was the daughter of Gaius Asinius Pollio, who was Roman consul 40 BCE.","Asinia was a noblewoman in ancient Rome. || She was the daughter of Gaius Asinius Pollio, a Roman consul in 40 BCE.",ChatGPT,wikiEN,Conceptual,insertion,,Good Insertion,,No Error,Elaboration,No,1,,"[[105, 107]]",0,False,,[],[],,in,False,False
ChatGPT_007,"Asinia was a noblewoman of ancient Roman who was the daughter of Gaius Asinius Pollio, who was Roman consul 40 BCE.","Asinia was a noblewoman in ancient Rome. || She was the daughter of Gaius Asinius Pollio, a Roman consul in 40 BCE.",ChatGPT,wikiEN,Lexical,substitution,Trivial Change,Trivial Substitution,,Trivial,Same Information,No,0,"[[24, 26]]","[[24, 26]]",0,False,,[],[],of,in,False,False
ChatGPT_007,"Asinia was a noblewoman of ancient Roman who was the daughter of Gaius Asinius Pollio, who was Roman consul 40 BCE.","Asinia was a noblewoman in ancient Rome. || She was the daughter of Gaius Asinius Pollio, a Roman consul in 40 BCE.",ChatGPT,wikiEN,Syntax,split,Sentence Split,Good Split,,No Error,Same Information,No,1,,,1,False,,"[[[41, 44]]]","[[[41, 47]]]",,,False,False
ChatGPT_007,"Asinia was a noblewoman of ancient Roman who was the daughter of Gaius Asinius Pollio, who was Roman consul 40 BCE.","Asinia was a noblewoman in ancient Rome. || She was the daughter of Gaius Asinius Pollio, a Roman consul in 40 BCE.",ChatGPT,wikiEN,Syntax,structure,Clausal Structure,Trivial Structure,Clausal Structure,Trivial,Same Information,No,0,,,1,False,,"[[[87, 94]]]","[[[90, 91]]]",,,False,False
ChatGPT_008,"Influenced by his father Jinghui, whom was also a linguist, Saišangga was proficient in Manchu, Mongolian and Chinese.","Saišangga learned Manchu, Mongolian, and Chinese because his father Jinghui, who was also a linguist, influenced him.",ChatGPT,wikiEN,Syntax,structure,Clausal Structure,Good Structure,Clausal Structure,No Error,Same Information,No,2,,,1,False,,"[[[0, 33]]]","[[[57, 117]]]",,,False,False
ChatGPT_008,"Influenced by his father Jinghui, whom was also a linguist, Saišangga was proficient in Manchu, Mongolian and Chinese.","Saišangga learned Manchu, Mongolian, and Chinese because his father Jinghui, who was also a linguist, influenced him.",ChatGPT,wikiEN,Conceptual,substitution,Information Rewrite,Bad Substitution,,Error,Same Information,No,1,"[[70, 87]]","[[10, 17]]",0,False,,[],[],was proficient in,learned,True,False
ChatGPT_008,"Influenced by his father Jinghui, whom was also a linguist, Saišangga was proficient in Manchu, Mongolian and Chinese.","Saišangga learned Manchu, Mongolian, and Chinese because his father Jinghui, who was also a linguist, influenced him.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[0, 13]]","[[49, 56]]",0,False,,[],[],Influenced by,because,False,False
ChatGPT_009,"In 1853, Saišangga was stripped of official position, imprisoned and waited for execution","In 1853, Saišangga lost his job, was put in jail, and awaited execution.",ChatGPT,wikiEN,Lexical,substitution,Trivial Change,Trivial Substitution,,Trivial,Same Information,No,0,"[[69, 79]]","[[54, 61]]",0,False,,[],[],waited for,awaited,False,False
ChatGPT_009,"In 1853, Saišangga was stripped of official position, imprisoned and waited for execution","In 1853, Saišangga lost his job, was put in jail, and awaited execution.",ChatGPT,wikiEN,Syntax,structure,Part of Speech,Good Structure,Part of Speech,No Error,Same Information,No,1,,,1,False,,"[[[19, 53]]]","[[[19, 32]]]",,,False,False
ChatGPT_009,"In 1853, Saišangga was stripped of official position, imprisoned and waited for execution","In 1853, Saišangga lost his job, was put in jail, and awaited execution.",ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[54, 64]]","[[37, 49]]",0,False,,[],[],imprisoned,"put in jail,",False,False
ChatGPT_010,"2-Chloronicotinic acid (2-CNA) is a halogenated derivative of nicotinic acid that is used as an intermediate in the production of a variety of bioactive chemicals,[4] including boscalid[5] and diflufenican.",2-Chloronicotinic acid (2-CNA) is a changed form of nicotinic acid with added halogen. || It is used to make many bioactive chemicals like boscalid and diflufenican.,ChatGPT,wikiEN,Syntax,split,Sentence Split,Good Split,,No Error,Same Information,No,1,,,1,False,,"[[[77, 81]]]","[[[87, 92]]]",,,False,False
ChatGPT_010,"2-Chloronicotinic acid (2-CNA) is a halogenated derivative of nicotinic acid that is used as an intermediate in the production of a variety of bioactive chemicals,[4] including boscalid[5] and diflufenican.",2-Chloronicotinic acid (2-CNA) is a changed form of nicotinic acid with added halogen. || It is used to make many bioactive chemicals like boscalid and diflufenican.,ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,2,"[[36, 76]]","[[36, 86]]",0,False,,[],[],halogenated derivative of nicotinic acid,changed form of nicotinic acid with added halogen.,True,False
ChatGPT_010,"2-Chloronicotinic acid (2-CNA) is a halogenated derivative of nicotinic acid that is used as an intermediate in the production of a variety of bioactive chemicals,[4] including boscalid[5] and diflufenican.",2-Chloronicotinic acid (2-CNA) is a changed form of nicotinic acid with added halogen. || It is used to make many bioactive chemicals like boscalid and diflufenican.,ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[130, 142]]","[[109, 113]]",0,False,,[],[],a variety of,many,False,False
ChatGPT_010,"2-Chloronicotinic acid (2-CNA) is a halogenated derivative of nicotinic acid that is used as an intermediate in the production of a variety of bioactive chemicals,[4] including boscalid[5] and diflufenican.",2-Chloronicotinic acid (2-CNA) is a changed form of nicotinic acid with added halogen. || It is used to make many bioactive chemicals like boscalid and diflufenican.,ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[167, 176]]","[[134, 138]]",0,False,,[],[],including,like,False,False
ChatGPT_011,Dasymutilla sicheliana is a species of velvet ant found predominantly in Mexico and the U.S. state of Arizona.,Dasymutilla sicheliana is a type of velvet ant mainly found in Mexico and Arizona.,ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[28, 35]]","[[28, 32]]",0,False,,[],[],species,type,False,False
ChatGPT_011,Dasymutilla sicheliana is a species of velvet ant found predominantly in Mexico and the U.S. state of Arizona.,Dasymutilla sicheliana is a type of velvet ant mainly found in Mexico and Arizona.,ChatGPT,wikiEN,Conceptual,substitution,,Good Substitution,,No Error,Same Information,No,1,"[[56, 69]]","[[47, 53]]",0,False,,[],[],predominantly,mainly,False,False
ChatGPT_011,Dasymutilla sicheliana is a species of velvet ant found predominantly in Mexico and the U.S. state of Arizona.,Dasymutilla sicheliana is a type of velvet ant mainly found in Mexico and Arizona.,ChatGPT,wikiEN,Syntax,reorder,Trivial Change,Good Reorder,,Trivial,Same Information,No,0,"[[50, 55]]","[[54, 59]]",0,False,,[],[],found,found,False,False
ChatGPT_011,Dasymutilla sicheliana is a species of velvet ant found predominantly in Mexico and the U.S. state of Arizona.,Dasymutilla sicheliana is a type of velvet ant mainly found in Mexico and Arizona.,ChatGPT,wikiEN,Conceptual,deletion,,Good Deletion,,No Error,Generalization,No,1,"[[84, 101]]",,0,False,,[],[],the U.S. state of,,False,True
ChatGPT_012,"He is known for the brutality of his raids, his rivalry with the sons of Cochise, and for the murder of several white men including Medal of Honor recipient Orizoba Spence.","He is known for his brutal raids, his fight with Cochise's sons, and for killing several white men, including Orizoba Spence, who received the Medal of Honor.",ChatGPT,wikiEN,Conceptual,substitution,Information Rewrite,Bad Substitution,,Error,Same Information,No,1,"[[48, 55]]","[[38, 43]]",0,False,,[],[],rivalry,fight,False,False
ChatGPT_012,"He is known for the brutality of his raids, his rivalry with the sons of Cochise, and for the murder of several white men including Medal of Honor recipient Orizoba Spence.","He is known for his brutal raids, his fight with Cochise's sons, and for killing several white men, including Orizoba Spence, who received the Medal of Honor.",ChatGPT,wikiEN,Lexical,substitution,Trivial Change,Trivial Substitution,,Trivial,Same Information,No,0,"[[61, 81]]","[[49, 64]]",0,False,,[],[],"the sons of Cochise,","Cochise's sons,",False,True
ChatGPT_012,"He is known for the brutality of his raids, his rivalry with the sons of Cochise, and for the murder of several white men including Medal of Honor recipient Orizoba Spence.","He is known for his brutal raids, his fight with Cochise's sons, and for killing several white men, including Orizoba Spence, who received the Medal of Honor.",ChatGPT,wikiEN,Syntax,structure,Clausal Structure,Good Structure,Clausal Structure,No Error,Same Information,No,1,,,2,False,,"[[[147, 156]], [[157, 172]]]","[[[126, 142]], [[110, 125]]]",,,False,False
ChatGPT_012,"He is known for the brutality of his raids, his rivalry with the sons of Cochise, and for the murder of several white men including Medal of Honor recipient Orizoba Spence.","He is known for his brutal raids, his fight with Cochise's sons, and for killing several white men, including Orizoba Spence, who received the Medal of Honor.",ChatGPT,wikiEN,Syntax,structure,Part of Speech,Good Structure,Part of Speech,No Error,Same Information,No,1,,,1,False,,"[[[16, 36]]]","[[[16, 26]]]",,,False,False
ChatGPT_012,"He is known for the brutality of his raids, his rivalry with the sons of Cochise, and for the murder of several white men including Medal of Honor recipient Orizoba Spence.","He is known for his brutal raids, his fight with Cochise's sons, and for killing several white men, including Orizoba Spence, who received the Medal of Honor.",ChatGPT,wikiEN,Syntax,structure,Part of Speech,Good Structure,Part of Speech,No Error,Same Information,No,1,,,1,False,,"[[[90, 103]]]","[[[73, 80]]]",,,False,False
ChatGPT_013,His actions led to the forced relocation of the Chiricahua to the San Carlos Apache Indian Reservation,His actions caused the Chiricahua to be moved to the San Carlos Apache Indian Reservation.,ChatGPT,wikiEN,Lexical,substitution,Trivial Change,Trivial Substitution,,Trivial,Same Information,No,0,"[[12, 18]]","[[12, 18]]",0,False,,[],[],led to,caused,False,False
ChatGPT_013,His actions led to the forced relocation of the Chiricahua to the San Carlos Apache Indian Reservation,His actions caused the Chiricahua to be moved to the San Carlos Apache Indian Reservation.,ChatGPT,wikiEN,Syntax,reorder,Trivial Change,Good Reorder,,Trivial,Same Information,No,0,"[[44, 58]]","[[19, 33]]",0,False,,[],[],the Chiricahua,the Chiricahua,True,True
